action_offset_hex	access_width_bytes	access_kind	instruction_address	owner_function	base_register	proof_anchor	proof_note	assembly_instruction
58	2	read	00483B7E	00483B30:sub_483B30	EDI	00483B33	函数参数已由全调用点目录确认是 ActionRecord*；EDI 到函数结束前未改写	00483B7E                 mov     cx, [edi+58h]
58	2	read	00483B87	00483B30:sub_483B30	EDI	00483B33	函数参数已由全调用点目录确认是 ActionRecord*；EDI 到函数结束前未改写	00483B87                 mov     dx, [edi+58h]
58	2	write	00483B96	00483B30:sub_483B30	EDI	00483B33	函数参数已由全调用点目录确认是 ActionRecord*；EDI 到函数结束前未改写	00483B96                 mov     word ptr [edi+58h], 0
58	2	read	00483F09	00483DB0:sub_483DB0	EDI	00483DB7	函数第二参数已由全调用点目录确认是 ActionRecord*；EDI 到函数结束前未改写	00483F09                 mov     cx, [edi+58h]
58	2	read	00483F20	00483DB0:sub_483DB0	EDI	00483DB7	函数第二参数已由全调用点目录确认是 ActionRecord*；EDI 到函数结束前未改写	00483F20                 mov     dx, [edi+58h]
58	2	read	00483F29	00483DB0:sub_483DB0	EDI	00483DB7	函数第二参数已由全调用点目录确认是 ActionRecord*；EDI 到函数结束前未改写	00483F29                 mov     ax, [edi+58h]
58	2	write	00483F3E	00483DB0:sub_483DB0	EDI	00483DB7	函数第二参数已由全调用点目录确认是 ActionRecord*；EDI 到函数结束前未改写	00483F3E                 mov     [edi+58h], ax
58	2	read	00484364	00484230:sub_484230	EDI	00484232	函数第三参数已由全调用点目录确认是 ActionRecord*；EDI 到函数结束前未改写	00484364                 mov     cx, [edi+58h]
58	2	read	0048438A	00484230:sub_484230	EDI	00484232	函数第三参数已由全调用点目录确认是 ActionRecord*；EDI 到函数结束前未改写	0048438A                 mov     cx, [edi+58h]
58	2	read	00484393	00484230:sub_484230	EDI	00484232	函数第三参数已由全调用点目录确认是 ActionRecord*；EDI 到函数结束前未改写	00484393                 mov     dx, [edi+58h]
58	2	write	0048439F	00484230:sub_484230	EDI	00484232	函数第三参数已由全调用点目录确认是 ActionRecord*；EDI 到函数结束前未改写	0048439F                 mov     word ptr [edi+58h], 0
5A	1	read	00483B01	004838D0:sub_4838D0	EDI	004838D7	函数第二参数已由全调用点目录确认是 ActionRecord*；EDI 到函数结束前未改写	00483B01                 test    byte ptr [edi+5Ah], 4
5A	2	write	00483B09	004838D0:sub_4838D0	EDI	004838D7	函数第二参数已由全调用点目录确认是 ActionRecord*；EDI 到函数结束前未改写	00483B09                 mov     [edi+5Ah], bx
5A	1	read	00483F53	00483DB0:sub_483DB0	EDI	00483DB7	函数第二参数已由全调用点目录确认是 ActionRecord*；EDI 到函数结束前未改写	00483F53                 test    byte ptr [edi+5Ah], 4
5A	2	write	00483F5D	00483DB0:sub_483DB0	EDI	00483DB7	函数第二参数已由全调用点目录确认是 ActionRecord*；EDI 到函数结束前未改写	00483F5D                 mov     [edi+5Ah], ax
5B	1	read	00483AEB	004838D0:sub_4838D0	EDI	004838D7	函数第二参数已由全调用点目录确认是 ActionRecord*；EDI 到函数结束前未改写	00483AEB                 test    byte ptr [edi+5Bh], 80h
5B	1	read	00483F3A	00483DB0:sub_483DB0	EDI	00483DB7	函数第二参数已由全调用点目录确认是 ActionRecord*；EDI 到函数结束前未改写	00483F3A                 test    byte ptr [edi+5Bh], 80h
5E	2	read	0048322A	004831C0:sub_4831C0	EDI	004831C7	函数第二参数已由全调用点目录确认是 ActionRecord*；EDI 到函数结束前未改写	0048322A                 mov     ax, [edi+5Eh]
5E	2	read	00483620	004831C0:sub_4831C0	EDI	004831C7	函数第二参数已由全调用点目录确认是 ActionRecord*；EDI 到函数结束前未改写	00483620                 mov     cx, [edi+5Eh]
5E	2	read	00483662	004831C0:sub_4831C0	EDI	004831C7	函数第二参数已由全调用点目录确认是 ActionRecord*；EDI 到函数结束前未改写	00483662                 mov     cx, [edi+5Eh]
5E	2	write	004836E8	004831C0:sub_4831C0	EDI	004831C7	函数第二参数已由全调用点目录确认是 ActionRecord*；EDI 到函数结束前未改写	004836E8                 mov     [edi+5Eh], bx
60	2	read	004836B5	004831C0:sub_4831C0	EDI	004831C7	函数第二参数已由全调用点目录确认是 ActionRecord*；EDI 到函数结束前未改写	004836B5                 movsx   ecx, word ptr [edi+60h]
60	2	write	004836EC	004831C0:sub_4831C0	EDI	004831C7	函数第二参数已由全调用点目录确认是 ActionRecord*；EDI 到函数结束前未改写	004836EC                 mov     [edi+60h], bx
76	2	read	0047F9AA	0047F940:sub_47F940	EBP	0047F945	函数第二参数已由全调用点目录确认是 ActionRecord*；EBP 到函数结束前未改写	0047F9AA                 mov     bx, [ebp+76h]
76	2	read	0047FA16	0047F940:sub_47F940	EBP	0047F945	函数第二参数已由全调用点目录确认是 ActionRecord*；EBP 到函数结束前未改写	0047FA16                 movsx   edx, word ptr [ebp+76h]
76	2	read	0047FA5C	0047F940:sub_47F940	EBP	0047F945	函数第二参数已由全调用点目录确认是 ActionRecord*；EBP 到函数结束前未改写	0047FA5C                 cmp     word ptr [ebp+76h], 0
76	2	read	00483219	004831C0:sub_4831C0	EDI	004831C7	函数第二参数已由全调用点目录确认是 ActionRecord*；EDI 到函数结束前未改写	00483219                 mov     dx, [edi+76h]
76	2	read	0048327C	004831C0:sub_4831C0	EDI	004831C7	函数第二参数已由全调用点目录确认是 ActionRecord*；EDI 到函数结束前未改写	0048327C                 mov     cx, [edi+76h]
76	2	read	004832E8	004831C0:sub_4831C0	EDI	004831C7	函数第二参数已由全调用点目录确认是 ActionRecord*；EDI 到函数结束前未改写	004832E8                 mov     cx, [edi+76h]
76	2	read	00483950	004838D0:sub_4838D0	EDI	004838D7	函数第二参数已由全调用点目录确认是 ActionRecord*；EDI 到函数结束前未改写	00483950                 mov     dx, [edi+76h]
76	2	read	004839A8	004838D0:sub_4838D0	EDI	004838D7	函数第二参数已由全调用点目录确认是 ActionRecord*；EDI 到函数结束前未改写	004839A8                 mov     ax, [edi+76h]
76	2	read	00483A0B	004838D0:sub_4838D0	EDI	004838D7	函数第二参数已由全调用点目录确认是 ActionRecord*；EDI 到函数结束前未改写	00483A0B                 mov     ax, [edi+76h]
76	2	read	00483A64	004838D0:sub_4838D0	EDI	004838D7	函数第二参数已由全调用点目录确认是 ActionRecord*；EDI 到函数结束前未改写	00483A64                 cmp     [edi+76h], bx
76	2	read	00483E28	00483DB0:sub_483DB0	EDI	00483DB7	函数第二参数已由全调用点目录确认是 ActionRecord*；EDI 到函数结束前未改写	00483E28                 mov     dx, [edi+76h]
76	2	read	00483E61	00483DB0:sub_483DB0	EDI	00483DB7	函数第二参数已由全调用点目录确认是 ActionRecord*；EDI 到函数结束前未改写	00483E61                 mov     cx, [edi+76h]
76	2	read	00483EB3	00483DB0:sub_483DB0	EDI	00483DB7	函数第二参数已由全调用点目录确认是 ActionRecord*；EDI 到函数结束前未改写	00483EB3                 cmp     word ptr [edi+76h], 0
76	2	read	00484274	00484230:sub_484230	EDI	00484232	函数第三参数已由全调用点目录确认是 ActionRecord*；EDI 到函数结束前未改写	00484274                 mov     dx, [edi+76h]
76	2	read	004842C7	00484230:sub_484230	EDI	00484232	函数第三参数已由全调用点目录确认是 ActionRecord*；EDI 到函数结束前未改写	004842C7                 mov     cx, [edi+76h]
76	2	read	00484325	00484230:sub_484230	EDI	00484232	函数第三参数已由全调用点目录确认是 ActionRecord*；EDI 到函数结束前未改写	00484325                 mov     cx, [edi+76h]
78	2	read	0047FAB5	0047F940:sub_47F940	EBP	0047F945	函数第二参数已由全调用点目录确认是 ActionRecord*；EBP 到函数结束前未改写	0047FAB5                 movsx   ecx, word ptr [ebp+78h]
78	2	read	0047FAF2	0047F940:sub_47F940	EBP	0047F945	函数第二参数已由全调用点目录确认是 ActionRecord*；EBP 到函数结束前未改写	0047FAF2                 movsx   eax, word ptr [ebp+78h]
78	2	read	00483A6A	004838D0:sub_4838D0	EDI	004838D7	函数第二参数已由全调用点目录确认是 ActionRecord*；EDI 到函数结束前未改写	00483A6A                 cmp     [edi+78h], bx
78	2	read	00483A9F	004838D0:sub_4838D0	EDI	004838D7	函数第二参数已由全调用点目录确认是 ActionRecord*；EDI 到函数结束前未改写	00483A9F                 sub     bx, [edi+78h]
78	2	read	00483EBA	00483DB0:sub_483DB0	EDI	00483DB7	函数第二参数已由全调用点目录确认是 ActionRecord*；EDI 到函数结束前未改写	00483EBA                 cmp     word ptr [edi+78h], 0
78	2	read	00483EF2	00483DB0:sub_483DB0	EDI	00483DB7	函数第二参数已由全调用点目录确认是 ActionRecord*；EDI 到函数结束前未改写	00483EF2                 sub     dx, [edi+78h]
88	1	read	0045147E	00451420:sub_451420	EDI	00451436	ECX 指向以 ActionRecord 为首成员、至少使用到 +0xC0 的包装记录；EDI 保持对象起点，扫描严格截断于 0x98	0045147E                 mov     al, [edi+88h]
8A	1	read	0040EC3A	0040EBF0:sub_40EBF0	ESI	0040EBF1	函数参数已由全调用点目录确认是 ActionRecord*；ESI 到函数结束前未改写	0040EC3A                 mov     cl, [esi+8Ah]
8A	1	read	0040ED0A	0040ECC0:sub_40ECC0	ESI	0040ECC1	函数参数已由全调用点目录确认是 ActionRecord*；ESI 到函数结束前未改写	0040ED0A                 mov     cl, [esi+8Ah]
8A	1	read	00483533	004831C0:sub_4831C0	EDI	004831C7	函数第二参数已由全调用点目录确认是 ActionRecord*；EDI 到函数结束前未改写	00483533                 mov     al, [edi+8Ah]
8A	1	read	00483D35	00483B30:sub_483B30	EDI	00483B33	函数参数已由全调用点目录确认是 ActionRecord*；EDI 到函数结束前未改写	00483D35                 mov     dl, [edi+8Ah]
8C	4	read	004515D0	00451540:sub_451540	ESI	00451541	ECX 指向以 ActionRecord 为首成员、至少使用到 +0xC0 的包装记录；ESI 保持对象起点，扫描严格截断于 0x98	004515D0                 mov     eax, [esi+8Ch]
8C	4	read	004836D3	004831C0:sub_4831C0	EDI	004831C7	函数第二参数已由全调用点目录确认是 ActionRecord*；EDI 到函数结束前未改写	004836D3                 mov     eax, [edi+8Ch]
8C	4	read	00483B12	004838D0:sub_4838D0	EDI	004838D7	函数第二参数已由全调用点目录确认是 ActionRecord*；EDI 到函数结束前未改写	00483B12                 mov     ecx, [edi+8Ch]
8C	4	read	00483C56	00483B30:sub_483B30	EDI	00483B33	函数参数已由全调用点目录确认是 ActionRecord*；EDI 到函数结束前未改写	00483C56                 mov     eax, [edi+8Ch]
8C	4	read	00483FA7	00483DB0:sub_483DB0	EDI	00483DB7	函数第二参数已由全调用点目录确认是 ActionRecord*；EDI 到函数结束前未改写	00483FA7                 mov     ecx, [edi+8Ch]
90	4	write	0047F960	0047F940:sub_47F940	EBP	0047F945	函数第二参数已由全调用点目录确认是 ActionRecord*；EBP 到函数结束前未改写	0047F960                 mov     [ebp+90h], eax
90	4	write	0047F976	0047F940:sub_47F940	EBP	0047F945	函数第二参数已由全调用点目录确认是 ActionRecord*；EBP 到函数结束前未改写	0047F976                 mov     [ebp+90h], eax
90	4	write	004838E4	004838D0:sub_4838D0	EDI	004838D7	函数第二参数已由全调用点目录确认是 ActionRecord*；EDI 到函数结束前未改写	004838E4                 mov     [edi+90h], ebx
90	4	write	004838FC	004838D0:sub_4838D0	EDI	004838D7	函数第二参数已由全调用点目录确认是 ActionRecord*；EDI 到函数结束前未改写	004838FC                 mov     [edi+90h], ebp
90	4	write	00483DC4	00483DB0:sub_483DB0	EDI	00483DB7	函数第二参数已由全调用点目录确认是 ActionRecord*；EDI 到函数结束前未改写	00483DC4                 mov     [edi+90h], ebp
90	4	write	00483DDC	00483DB0:sub_483DB0	EDI	00483DB7	函数第二参数已由全调用点目录确认是 ActionRecord*；EDI 到函数结束前未改写	00483DDC                 mov     [edi+90h], ebx
