effective_opcode	entry_target	reachable_instruction_count	reaches_common_join	direct_return_sites	ip_mutation_sites	fixed_add_values	dynamic_or_absolute_sites	direct_calls	unresolved_edges	triage	scope_limit
98	0x0042C7EA	4	yes		0x0042C7ED:fixed_add:add word ptr [ebp+0], 4	4				single_fixed_advance_site	CFG over-approximation; conditional feasibility and semantics require assembly audit
99	0x0042AD75	12	yes		0x0042D185:fixed_add:add word ptr [ebp+0], 4	4				single_fixed_advance_site	CFG over-approximation; conditional feasibility and semantics require assembly audit
100	0x0042B3B0	37	yes		0x0042B42D:fixed_add:add word ptr [ebp+0], 6	6		0x0042B3CD:sub_40C0D0|0x0042B419:sub_40D460		single_fixed_advance_site	CFG over-approximation; conditional feasibility and semantics require assembly audit
101	0x0042B43B	23	yes		0x0042D185:fixed_add:add word ptr [ebp+0], 4	4		0x0042B454:sub_40C0D0		single_fixed_advance_site	CFG over-approximation; conditional feasibility and semantics require assembly audit
102	0x0042C567	90	yes		0x00429F68:fixed_add:add word ptr [ebp+0], 6	6		0x0042C5E7:sub_40C0D0|0x0042C633:sub_40AE20|0x0042C64A:sub_40AEC0|0x0042C66A:edi|0x0042C673:nullsub_1|0x0042C6D0:sub_40D460		single_fixed_advance_site	CFG over-approximation; conditional feasibility and semantics require assembly audit
103	0x0042C567	90	yes		0x00429F68:fixed_add:add word ptr [ebp+0], 6	6		0x0042C5E7:sub_40C0D0|0x0042C633:sub_40AE20|0x0042C64A:sub_40AEC0|0x0042C66A:edi|0x0042C673:nullsub_1|0x0042C6D0:sub_40D460		single_fixed_advance_site	CFG over-approximation; conditional feasibility and semantics require assembly audit
104	0x0042B47E	12	yes		0x0042B4A8:fixed_add:add word ptr [ebp+0], 6	6				single_fixed_advance_site	CFG over-approximation; conditional feasibility and semantics require assembly audit
105	0x0042B4B9	9	yes		0x00427E84:fixed_add:add word ptr [ebp+0], 2	2				single_fixed_advance_site	CFG over-approximation; conditional feasibility and semantics require assembly audit
106	0x0042B4CA	17	yes		0x0042B4F9:fixed_add:add word ptr [ebp+0], 4	4				single_fixed_advance_site	CFG over-approximation; conditional feasibility and semantics require assembly audit
107	0x0042B50F	59	yes		0x0042B57F:fixed_add:add word ptr [ebp+0], 6|0x0042B5A5:fixed_add:add word ptr [ebp+0], 6|0x0042B5D9:fixed_add:add word ptr [ebp+0], 6	6		0x0042B528:sub_40C0D0|0x0042B576:nullsub_1|0x0042B5D0:nullsub_1		multiple_fixed_mutation_sites_or_variable_text_scan	CFG over-approximation; conditional feasibility and semantics require assembly audit
108	0x0042B5F2	15	yes		0x0042B626:fixed_add:add word ptr [ebp+0], 6	6				single_fixed_advance_site	CFG over-approximation; conditional feasibility and semantics require assembly audit
109	0x0042B63C	34	yes		0x0042B698:dynamic_add:add [ebp+0], dx		0x0042B698	0x0042B656:sub_40C0D0|0x0042B66F:sub_42E280		dynamic_or_absolute_ip_mutation	CFG over-approximation; conditional feasibility and semantics require assembly audit
110	0x0042B6A5	39	yes		0x0042B6FB:fixed_add:add word ptr [ebp+0], 6	6		0x0042CCDB:sub_42E430		single_fixed_advance_site	CFG over-approximation; conditional feasibility and semantics require assembly audit
111	0x0042B6A5	39	yes		0x0042B6FB:fixed_add:add word ptr [ebp+0], 6	6		0x0042CCDB:sub_42E430		single_fixed_advance_site	CFG over-approximation; conditional feasibility and semantics require assembly audit
112	0x0042B70C	11	yes		0x0042D1C7:fixed_add:add word ptr [ebp+0], 2	2				single_fixed_advance_site	CFG over-approximation; conditional feasibility and semantics require assembly audit
113	0x0042B723	12	yes		0x0042BEF0:fixed_add:add word ptr [ebp+0], 6	6		0x0042B72F:sub_485610		single_fixed_advance_site	CFG over-approximation; conditional feasibility and semantics require assembly audit
114	0x0042B739	56	yes		0x0042B7D7:fixed_add:add word ptr [ebp+0], 8	8		0x0042B76E:sub_485880|0x0042B77D:edi|0x0042B786:nullsub_1|0x0042C71C:edi|0x0042C725:nullsub_1		single_fixed_advance_site	CFG over-approximation; conditional feasibility and semantics require assembly audit
115	0x0042B7FC	24	yes		0x0042C7ED:fixed_add:add word ptr [ebp+0], 4	4		0x0042B815:sub_485850|0x0042B82D:sub_485850		single_fixed_advance_site	CFG over-approximation; conditional feasibility and semantics require assembly audit
116	0x0042B83A	53	yes		0x0042B8CC:dynamic_add:add [ebp+0], ax		0x0042B8CC	0x0042B86C:sub_40C0D0|0x0042B890:sub_42DAF0		dynamic_or_absolute_ip_mutation	CFG over-approximation; conditional feasibility and semantics require assembly audit
117	0x0042C567	90	yes		0x00429F68:fixed_add:add word ptr [ebp+0], 6	6		0x0042C5E7:sub_40C0D0|0x0042C633:sub_40AE20|0x0042C64A:sub_40AEC0|0x0042C66A:edi|0x0042C673:nullsub_1|0x0042C6D0:sub_40D460		single_fixed_advance_site	CFG over-approximation; conditional feasibility and semantics require assembly audit
118	0x0042B8E6	62	yes		0x0042B9AC:fixed_add:add word ptr [ebp+0], 4	4		0x0042B91D:sub_40C060|0x0042B954:sub_4885A0|0x0042B95D:sub_4885A0|0x0042B963:sub_4885A0		single_fixed_advance_site	CFG over-approximation; conditional feasibility and semantics require assembly audit
119	0x0042B9C2	68	yes		0x0042BA17:fixed_add:add word ptr [ebp+0], 4|0x0042BA52:fixed_add:add word ptr [ebp+0], 4|0x0042BA7E:fixed_add:add word ptr [ebp+0], 4|0x0042BAA2:fixed_add:add word ptr [ebp+0], 4	4		0x0042B9EA:sub_40C0D0|0x0042BA0E:nullsub_1		multiple_fixed_mutation_sites_or_variable_text_scan	CFG over-approximation; conditional feasibility and semantics require assembly audit
120	0x0042BAB8	97	yes		0x0042BBC2:fixed_add:add word ptr [ebp+0], 0Ah|0x0042BC13:fixed_add:add word ptr [ebp+0], 0Ah	10		0x0042BAD1:sub_40C0D0|0x0042BB54:sub_4321E0|0x0042BB96:nullsub_1|0x0042BC0A:sub_40D460		multiple_fixed_mutation_sites_or_variable_text_scan	CFG over-approximation; conditional feasibility and semantics require assembly audit
121	0x0042BC2C	9	yes		0x00427E84:fixed_add:add word ptr [ebp+0], 2	2				single_fixed_advance_site	CFG over-approximation; conditional feasibility and semantics require assembly audit
122	0x0042BC3D	7	yes		0x00427E84:fixed_add:add word ptr [ebp+0], 2	2				single_fixed_advance_site	CFG over-approximation; conditional feasibility and semantics require assembly audit
123	0x0042BC4C	51	yes		0x0042BCDF:fixed_add:add word ptr [ebp+0], 0Ah	10		0x0042BCD3:nullsub_1		single_fixed_advance_site	CFG over-approximation; conditional feasibility and semantics require assembly audit
124	0x0042BCF5	9	yes		0x00427E84:fixed_add:add word ptr [ebp+0], 2	2				single_fixed_advance_site	CFG over-approximation; conditional feasibility and semantics require assembly audit
125	0x0042BD06	57	yes		0x0042BD8E:absolute_write:mov [ebp+0], dx		0x0042BD8E	0x0042BD1F:_malloc|0x0042BD2C:_malloc		dynamic_or_absolute_ip_mutation	CFG over-approximation; conditional feasibility and semantics require assembly audit
126	0x0042BDBC	62	yes		0x0042BE64:fixed_add:add word ptr [ebp+0], 0Ah	10		0x0042BDD9:sub_40C0D0|0x0042BDF3:_malloc|0x0042BDFC:sub_40D560|0x0042BE4D:sub_42E430|0x0042BE77:sub_4885A0		single_fixed_advance_site	CFG over-approximation; conditional feasibility and semantics require assembly audit
127	0x0042BDBC	62	yes		0x0042BE64:fixed_add:add word ptr [ebp+0], 0Ah	10		0x0042BDD9:sub_40C0D0|0x0042BDF3:_malloc|0x0042BDFC:sub_40D560|0x0042BE4D:sub_42E430|0x0042BE77:sub_4885A0		single_fixed_advance_site	CFG over-approximation; conditional feasibility and semantics require assembly audit
128	0x0042BE8A	36	yes		0x0042BEF0:fixed_add:add word ptr [ebp+0], 6	6		0x0042BE9B:sub_44D2D0|0x0042BED5:edi|0x0042BEE1:nullsub_1		single_fixed_advance_site	CFG over-approximation; conditional feasibility and semantics require assembly audit
129	0x0042BEFE	48	yes		0x004289AB:fixed_add:add word ptr [ebp+0], 8	8		0x0042BF08:sub_44D680|0x0042BF1C:sub_44D650|0x0042CCDB:sub_42E430		single_fixed_advance_site	CFG over-approximation; conditional feasibility and semantics require assembly audit
130	0x0042BEFE	48	yes		0x004289AB:fixed_add:add word ptr [ebp+0], 8	8		0x0042BF08:sub_44D680|0x0042BF1C:sub_44D650|0x0042CCDB:sub_42E430		single_fixed_advance_site	CFG over-approximation; conditional feasibility and semantics require assembly audit
131	0x0042BF72	63	yes		0x00429F68:fixed_add:add word ptr [ebp+0], 6	6		0x0042BF96:nullsub_1|0x0042BFAC:sub_44D680|0x0042BFD1:sub_44D2D0|0x0042C00C:nullsub_1|0x0042C026:sub_44D0F0		single_fixed_advance_site	CFG over-approximation; conditional feasibility and semantics require assembly audit
132	0x0042C033	145	yes		0x004289AB:fixed_add:add word ptr [ebp+0], 8	8		0x0042C063:sub_44D680|0x0042C07C:_malloc|0x0042C0C2:ds:lstrlenA|0x0042C0CA:_malloc|0x0042C0FA:ebx|0x0042C170:ds:lstrlenA|0x0042C178:_malloc|0x0042C1C0:ebx|0x0042C1D3:sub_44D2D0|0x0042C1E6:sub_44D2D0|0x0042C1EC:sub_4885A0|0x0042C20E:nullsub_1|0x0042C227:nullsub_1		single_fixed_advance_site	CFG over-approximation; conditional feasibility and semantics require assembly audit
133	0x0042C234	40	yes		0x0042C2BD:dynamic_add:add [ebp+0], dx		0x0042C2BD	0x0042C23B:sub_4885A0|0x0042C245:_malloc		dynamic_or_absolute_ip_mutation	CFG over-approximation; conditional feasibility and semantics require assembly audit
134	0x0042C2C6	54	yes		0x0042A2B3:fixed_add:add word ptr [ebp+0], 0Ah	10		0x0042C2E2:nullsub_1		single_fixed_advance_site	CFG over-approximation; conditional feasibility and semantics require assembly audit
135	0x0042C3B0	12	yes		0x0042C3E1:fixed_add:add word ptr [ebp+0], 2	2		0x0042C3D8:sub_406D30|0x0042C3ED:_AIL_serve@0		single_fixed_advance_site	CFG over-approximation; conditional feasibility and semantics require assembly audit
136	0x0042C567	90	yes		0x00429F68:fixed_add:add word ptr [ebp+0], 6	6		0x0042C5E7:sub_40C0D0|0x0042C633:sub_40AE20|0x0042C64A:sub_40AEC0|0x0042C66A:edi|0x0042C673:nullsub_1|0x0042C6D0:sub_40D460		single_fixed_advance_site	CFG over-approximation; conditional feasibility and semantics require assembly audit
137	0x0042C3F7	39	yes		0x0042C464:fixed_add:add word ptr [ebp+0], 2	2		0x0042C403:sub_485880|0x0042C420:edi|0x0042C42A:nullsub_1|0x0042C489:edi|0x0042C491:nullsub_1		single_fixed_advance_site	CFG over-approximation; conditional feasibility and semantics require assembly audit
138	0x0042C49E	66	yes		0x0042C554:fixed_add:add word ptr [ebp+0], 0Eh	14		0x0042C4B5:sub_40C0D0|0x0042C515:__ftol|0x0042C545:nullsub_1|0x0042CCDB:sub_42E430		single_fixed_advance_site	CFG over-approximation; conditional feasibility and semantics require assembly audit
139	0x0042B9C2	68	yes		0x0042BA17:fixed_add:add word ptr [ebp+0], 4|0x0042BA52:fixed_add:add word ptr [ebp+0], 4|0x0042BA7E:fixed_add:add word ptr [ebp+0], 4|0x0042BAA2:fixed_add:add word ptr [ebp+0], 4	4		0x0042B9EA:sub_40C0D0|0x0042BA0E:nullsub_1		multiple_fixed_mutation_sites_or_variable_text_scan	CFG over-approximation; conditional feasibility and semantics require assembly audit
140	0x0042C567	90	yes		0x00429F68:fixed_add:add word ptr [ebp+0], 6	6		0x0042C5E7:sub_40C0D0|0x0042C633:sub_40AE20|0x0042C64A:sub_40AEC0|0x0042C66A:edi|0x0042C673:nullsub_1|0x0042C6D0:sub_40D460		single_fixed_advance_site	CFG over-approximation; conditional feasibility and semantics require assembly audit
141	0x0042C6DD	23	yes		0x0042C6F7:fixed_add:add word ptr [ebp+0], 6	6		0x0042C71C:edi|0x0042C725:nullsub_1		single_fixed_advance_site	CFG over-approximation; conditional feasibility and semantics require assembly audit
142	0x0042C732	17	yes		0x0042C758:fixed_add:add word ptr [ebp+0], 8	8		0x0042C749:sub_430B60		single_fixed_advance_site	CFG over-approximation; conditional feasibility and semantics require assembly audit
143	0x0042C766	13	yes		0x0042C78F:fixed_add:add word ptr [ebp+0], 2	2		0x0042C772:sub_40DCB0|0x0042C779:sub_40DCB0|0x0042C780:sub_40DCB0		single_fixed_advance_site	CFG over-approximation; conditional feasibility and semantics require assembly audit
144	0x0042C79D	22	yes		0x0042C7ED:fixed_add:add word ptr [ebp+0], 4	4		0x0042C7CF:sub_406D30		single_fixed_advance_site	CFG over-approximation; conditional feasibility and semantics require assembly audit
145	0x0042C567	90	yes		0x00429F68:fixed_add:add word ptr [ebp+0], 6	6		0x0042C5E7:sub_40C0D0|0x0042C633:sub_40AE20|0x0042C64A:sub_40AEC0|0x0042C66A:edi|0x0042C673:nullsub_1|0x0042C6D0:sub_40D460		single_fixed_advance_site	CFG over-approximation; conditional feasibility and semantics require assembly audit
146	0x0042C567	90	yes		0x00429F68:fixed_add:add word ptr [ebp+0], 6	6		0x0042C5E7:sub_40C0D0|0x0042C633:sub_40AE20|0x0042C64A:sub_40AEC0|0x0042C66A:edi|0x0042C673:nullsub_1|0x0042C6D0:sub_40D460		single_fixed_advance_site	CFG over-approximation; conditional feasibility and semantics require assembly audit
147	0x0042C7FB	8	yes		0x0042C80C:fixed_add:add word ptr [ebp+0], 2	2		0x0042C7FD:sub_40DC80		single_fixed_advance_site	CFG over-approximation; conditional feasibility and semantics require assembly audit
148	0x0042C81A	8	yes		0x0042C82B:fixed_add:add word ptr [ebp+0], 2	2		0x0042C81C:sub_40DC80		single_fixed_advance_site	CFG over-approximation; conditional feasibility and semantics require assembly audit
149	0x0042C839	8	yes		0x0042C84A:fixed_add:add word ptr [ebp+0], 2	2		0x0042C83B:sub_40DCB0		single_fixed_advance_site	CFG over-approximation; conditional feasibility and semantics require assembly audit
150	0x0042C858	38	yes		0x0042C8EA:fixed_add:add word ptr [ebp+0], 6	6				single_fixed_advance_site	CFG over-approximation; conditional feasibility and semantics require assembly audit
151	0x0042C8F8	14	yes		0x0042C928:fixed_add:add word ptr [ebp+0], 0Ah	10				single_fixed_advance_site	CFG over-approximation; conditional feasibility and semantics require assembly audit
152	0x0042C936	13	yes		0x0042D1C7:fixed_add:add word ptr [ebp+0], 2	2				single_fixed_advance_site	CFG over-approximation; conditional feasibility and semantics require assembly audit
153	0x0042B1F1	39	yes		0x0042B279:fixed_add:add word ptr [ebp+0], 0Ah	10		0x0042B1F6:_malloc|0x0042B20C:sub_40DC00		single_fixed_advance_site	CFG over-approximation; conditional feasibility and semantics require assembly audit
154	0x0042B4CA	17	yes		0x0042B4F9:fixed_add:add word ptr [ebp+0], 4	4				single_fixed_advance_site	CFG over-approximation; conditional feasibility and semantics require assembly audit
155	0x0042C95B	35	yes		0x0042CF6E:fixed_add:add word ptr [ebp+0], 2	2		0x0042C9AA:sub_42E790|0x0042C9C1:nullsub_1		single_fixed_advance_site	CFG over-approximation; conditional feasibility and semantics require assembly audit
156	0x0042C9CE	33	yes		0x0042CF6E:fixed_add:add word ptr [ebp+0], 2	2		0x0042C9FF:sub_42E790|0x0042CA2D:nullsub_1		single_fixed_advance_site	CFG over-approximation; conditional feasibility and semantics require assembly audit
157	0x0042CA3A	21	yes		0x004289AB:fixed_add:add word ptr [ebp+0], 8	8		0x0042CA4E:nullsub_1		single_fixed_advance_site	CFG over-approximation; conditional feasibility and semantics require assembly audit
158	0x0042CA7C	87	yes		0x0042CAC7:absolute_write:mov [ebp+0], ax		0x0042CAC7	0x0042CAE1:_malloc|0x0042CAFB:edi|0x0042CB03:edi|0x0042CB21:edi|0x0042CB29:edi|0x0042CB3D:edi|0x0042CB45:edi|0x0042CB59:edi|0x0042CB61:edi|0x0042CB76:ds:DeleteFileA|0x0042CB7D:sub_4885A0|0x0042CB97:ds:CopyFileA|0x0042CB9E:sub_4885A0		dynamic_or_absolute_ip_mutation	CFG over-approximation; conditional feasibility and semantics require assembly audit
159	0x0042CA7C	87	yes		0x0042CAC7:absolute_write:mov [ebp+0], ax		0x0042CAC7	0x0042CAE1:_malloc|0x0042CAFB:edi|0x0042CB03:edi|0x0042CB21:edi|0x0042CB29:edi|0x0042CB3D:edi|0x0042CB45:edi|0x0042CB59:edi|0x0042CB61:edi|0x0042CB76:ds:DeleteFileA|0x0042CB7D:sub_4885A0|0x0042CB97:ds:CopyFileA|0x0042CB9E:sub_4885A0		dynamic_or_absolute_ip_mutation	CFG over-approximation; conditional feasibility and semantics require assembly audit
160	0x0042CBB0	6	yes		0x0042CBBE:fixed_add:add word ptr [ebp+0], 2	2				single_fixed_advance_site	CFG over-approximation; conditional feasibility and semantics require assembly audit
161	0x0042CBCC	12	yes					0x0042CBCC:_AIL_serve@0|0x0042CBE3:sub_42E480		no_ip_mutation_reached	CFG over-approximation; conditional feasibility and semantics require assembly audit
162	0x0042B287	79	yes		0x0042B32C:fixed_add:add word ptr [ebp+0], 4|0x0042D185:fixed_add:add word ptr [ebp+0], 4	4		0x0042B2FB:sub_40BAA0|0x0042B311:sub_40BAA0|0x0042B359:edi|0x0042B365:nullsub_1|0x0042B393:edi|0x0042B39F:nullsub_1		multiple_fixed_mutation_sites_or_variable_text_scan	CFG over-approximation; conditional feasibility and semantics require assembly audit
163	0x0042CBFF	27	yes		0x00428447:fixed_add:add word ptr [ebp+0], 8	8		0x0042CCDB:sub_42E430		single_fixed_advance_site	CFG over-approximation; conditional feasibility and semantics require assembly audit
164	0x0042CBFF	27	yes		0x00428447:fixed_add:add word ptr [ebp+0], 8	8		0x0042CCDB:sub_42E430		single_fixed_advance_site	CFG over-approximation; conditional feasibility and semantics require assembly audit
165	0x0042CC35	58	yes		0x0042A2B3:fixed_add:add word ptr [ebp+0], 0Ah	10		0x0042CC47:sub_44D680|0x0042CC6A:sub_44D650|0x0042CCDB:sub_42E430		single_fixed_advance_site	CFG over-approximation; conditional feasibility and semantics require assembly audit
166	0x0042CC35	58	yes		0x0042A2B3:fixed_add:add word ptr [ebp+0], 0Ah	10		0x0042CC47:sub_44D680|0x0042CC6A:sub_44D650|0x0042CCDB:sub_42E430		single_fixed_advance_site	CFG over-approximation; conditional feasibility and semantics require assembly audit
167	0x0042BEFE	48	yes		0x004289AB:fixed_add:add word ptr [ebp+0], 8	8		0x0042BF08:sub_44D680|0x0042BF1C:sub_44D650|0x0042CCDB:sub_42E430		single_fixed_advance_site	CFG over-approximation; conditional feasibility and semantics require assembly audit
168	0x0042BEFE	48	yes		0x004289AB:fixed_add:add word ptr [ebp+0], 8	8		0x0042BF08:sub_44D680|0x0042BF1C:sub_44D650|0x0042CCDB:sub_42E430		single_fixed_advance_site	CFG over-approximation; conditional feasibility and semantics require assembly audit
169	0x0042ADB7	195	yes		0x0042B05B:dynamic_add:add [ebp+0], dx		0x0042B05B	0x0042ADF0:sub_40C0D0|0x0042AE0C:nullsub_1|0x0042AEF0:sub_42DAF0|0x0042AF60:sub_42DAF0|0x0042AFC5:sub_40C0D0|0x0042AFF1:sub_42E280		dynamic_or_absolute_ip_mutation	CFG over-approximation; conditional feasibility and semantics require assembly audit
170	0x0042CCF7	77	yes		0x0042CD43:absolute_write:mov [ebp+0], dx|0x0042CD57:fixed_add:add word ptr [ebp+0], 2	2	0x0042CD43	0x0042CD8A:sub_4885A0|0x0042CD99:sub_40DCB0|0x0042CDAB:sub_4885A0|0x0042CDB5:_malloc|0x0042CDD2:ds:lstrcpyA|0x0042CDE0:sub_40DC80		dynamic_or_absolute_ip_mutation	CFG over-approximation; conditional feasibility and semantics require assembly audit
171	0x0042CCF7	77	yes		0x0042CD43:absolute_write:mov [ebp+0], dx|0x0042CD57:fixed_add:add word ptr [ebp+0], 2	2	0x0042CD43	0x0042CD8A:sub_4885A0|0x0042CD99:sub_40DCB0|0x0042CDAB:sub_4885A0|0x0042CDB5:_malloc|0x0042CDD2:ds:lstrcpyA|0x0042CDE0:sub_40DC80		dynamic_or_absolute_ip_mutation	CFG over-approximation; conditional feasibility and semantics require assembly audit
172	0x0042CCF7	77	yes		0x0042CD43:absolute_write:mov [ebp+0], dx|0x0042CD57:fixed_add:add word ptr [ebp+0], 2	2	0x0042CD43	0x0042CD8A:sub_4885A0|0x0042CD99:sub_40DCB0|0x0042CDAB:sub_4885A0|0x0042CDB5:_malloc|0x0042CDD2:ds:lstrcpyA|0x0042CDE0:sub_40DC80		dynamic_or_absolute_ip_mutation	CFG over-approximation; conditional feasibility and semantics require assembly audit
173	0x0042CCF7	77	yes		0x0042CD43:absolute_write:mov [ebp+0], dx|0x0042CD57:fixed_add:add word ptr [ebp+0], 2	2	0x0042CD43	0x0042CD8A:sub_4885A0|0x0042CD99:sub_40DCB0|0x0042CDAB:sub_4885A0|0x0042CDB5:_malloc|0x0042CDD2:ds:lstrcpyA|0x0042CDE0:sub_40DC80		dynamic_or_absolute_ip_mutation	CFG over-approximation; conditional feasibility and semantics require assembly audit
174	0x0042C567	89	yes		0x00429F68:fixed_add:add word ptr [ebp+0], 6	6		0x0042C5E7:sub_40C0D0|0x0042C633:sub_40AE20|0x0042C64A:sub_40AEC0|0x0042C66A:edi|0x0042C673:nullsub_1|0x0042C6D0:sub_40D460		single_fixed_advance_site	CFG over-approximation; conditional feasibility and semantics require assembly audit
175	0x0042CDED	8	yes		0x0042CE03:fixed_add:add word ptr [ebp+0], 2	2				single_fixed_advance_site	CFG over-approximation; conditional feasibility and semantics require assembly audit
176	0x0042CE12	7	yes		0x0042CE28:fixed_add:add word ptr [ebp+0], 2	2				single_fixed_advance_site	CFG over-approximation; conditional feasibility and semantics require assembly audit
177	0x0042CE32	85	yes		0x0042CF6E:fixed_add:add word ptr [ebp+0], 2	2				single_fixed_advance_site	CFG over-approximation; conditional feasibility and semantics require assembly audit
178	0x0042CF7C	22	yes		0x0042D185:fixed_add:add word ptr [ebp+0], 4	4		0x0042CF93:sub_40C0D0		single_fixed_advance_site	CFG over-approximation; conditional feasibility and semantics require assembly audit
179	0x0042CFBD	46	yes		0x0042A2B3:fixed_add:add word ptr [ebp+0], 0Ah	10		0x0042CFDB:??2@YAPAXI@Z|0x0042D00E:sub_430C60|0x0042D028:sub_430FF0		single_fixed_advance_site	CFG over-approximation; conditional feasibility and semantics require assembly audit
180	0x0042D041	5	yes		0x0042D04E:fixed_add:add word ptr [ebp+0], 2	2				single_fixed_advance_site	CFG over-approximation; conditional feasibility and semantics require assembly audit
181	0x0042B070	43	yes		0x0042B1E4:dynamic_add:add [ebp+0], ax		0x0042B1E4	0x0042B0A2:nullsub_1		dynamic_or_absolute_ip_mutation	CFG over-approximation; conditional feasibility and semantics require assembly audit
182	0x0042B070	43	yes		0x0042B1E4:dynamic_add:add [ebp+0], ax		0x0042B1E4	0x0042B0A2:nullsub_1		dynamic_or_absolute_ip_mutation	CFG over-approximation; conditional feasibility and semantics require assembly audit
183	0x0042B070	48	yes		0x0042B1E4:dynamic_add:add [ebp+0], ax		0x0042B1E4	0x0042B0A2:nullsub_1		dynamic_or_absolute_ip_mutation	CFG over-approximation; conditional feasibility and semantics require assembly audit
184	0x0042B070	55	yes		0x0042B1E4:dynamic_add:add [ebp+0], ax		0x0042B1E4	0x0042B0A2:nullsub_1|0x0042B1AB:sub_42E430		dynamic_or_absolute_ip_mutation	CFG over-approximation; conditional feasibility and semantics require assembly audit
185	0x0042B070	54	yes		0x0042B1E4:dynamic_add:add [ebp+0], ax		0x0042B1E4	0x0042B0A2:nullsub_1|0x0042B1AB:sub_42E430		dynamic_or_absolute_ip_mutation	CFG over-approximation; conditional feasibility and semantics require assembly audit
186	0x0042D05C	46	yes		0x0042A2B3:fixed_add:add word ptr [ebp+0], 0Ah	10		0x0042D070:sub_4112B0|0x0042D0C1:sub_42E430|0x0042D0F8:nullsub_1		single_fixed_advance_site	CFG over-approximation; conditional feasibility and semantics require assembly audit
187	0x0042D05C	46	yes		0x0042A2B3:fixed_add:add word ptr [ebp+0], 0Ah	10		0x0042D070:sub_4112B0|0x0042D0C1:sub_42E430|0x0042D0F8:nullsub_1		single_fixed_advance_site	CFG over-approximation; conditional feasibility and semantics require assembly audit
188	0x0042D0D8	56	yes		0x00429F68:fixed_add:add word ptr [ebp+0], 6	6		0x0042D0F8:nullsub_1|0x0042D120:sub_4112B0|0x0042D130:sub_411030|0x0042D142:sub_4112B0|0x0042D152:sub_411030|0x0042D163:sub_411030		single_fixed_advance_site	CFG over-approximation; conditional feasibility and semantics require assembly audit
189	0x0042D0D8	56	yes		0x00429F68:fixed_add:add word ptr [ebp+0], 6	6		0x0042D0F8:nullsub_1|0x0042D120:sub_4112B0|0x0042D130:sub_411030|0x0042D142:sub_4112B0|0x0042D152:sub_411030|0x0042D163:sub_411030		single_fixed_advance_site	CFG over-approximation; conditional feasibility and semantics require assembly audit
190	0x0042D0D8	56	yes		0x00429F68:fixed_add:add word ptr [ebp+0], 6	6		0x0042D0F8:nullsub_1|0x0042D120:sub_4112B0|0x0042D130:sub_411030|0x0042D142:sub_4112B0|0x0042D152:sub_411030|0x0042D163:sub_411030		single_fixed_advance_site	CFG over-approximation; conditional feasibility and semantics require assembly audit
191	0x0042D170	15	yes		0x0042D185:fixed_add:add word ptr [ebp+0], 4	4				single_fixed_advance_site	CFG over-approximation; conditional feasibility and semantics require assembly audit
192	0x0042D1AA	9	yes		0x0042D1C7:fixed_add:add word ptr [ebp+0], 2	2				single_fixed_advance_site	CFG over-approximation; conditional feasibility and semantics require assembly audit
193	0x0042D1D5	11	yes		0x0042D1ED:fixed_add:add word ptr [ebp+0], 2	2		0x0042D1D5:sub_484DA0		single_fixed_advance_site	CFG over-approximation; conditional feasibility and semantics require assembly audit
1024	0x0042D200	5	yes		0x0042D203:fixed_add:add word ptr [ebp+0], 2	2				single_fixed_advance_site	CFG over-approximation; conditional feasibility and semantics require assembly audit
1025	0x0042D49F	6	yes		0x0042D49F:fixed_add:add word ptr [ebp+0], 2	2				single_fixed_advance_site	CFG over-approximation; conditional feasibility and semantics require assembly audit
1026	0x0042D1EA	5	yes		0x0042D1ED:fixed_add:add word ptr [ebp+0], 2	2				single_fixed_advance_site	CFG over-approximation; conditional feasibility and semantics require assembly audit
16383	0x0042D24E	169	yes					0x0042D270:sub_40C0D0|0x0042D29D:nullsub_1|0x0042D2AA:sub_42D920|0x0042D2FD:sub_4321E0|0x0042D333:nullsub_1|0x0042D353:sub_42D920|0x0042D370:sub_40DC50|0x0042D3A1:edi|0x0042D3AA:nullsub_1|0x0042D40D:sub_40DD40|0x0042D452:ds:wsprintfA|0x0042D460:nullsub_1		no_ip_mutation_reached	CFG over-approximation; conditional feasibility and semantics require assembly audit
