effective_opcode	entry_target	encoding_class	sequential_length_rule	normal_fixed_length	operand_shape	control_effect	assembly_evidence	confidence	caveat
115	0x0042B7FC	fixed_raw_operands	4	4	2 raw operand bytes; field names pending data-flow audit	handler_specific_sequential_or_wait	0x0042C7ED:fixed_add:add word ptr [ebp+0], 4	assembly_confirmed	width confirmed; parameter meaning/state effects not yet complete
116	0x0042B83A	counted_6byte_records	4 + 6*u16_count		u16 count; count records of 3*u16	sequential	0x0042B83A-0x0042B8E1	assembly_confirmed	state IP receives the low 16 bits of the product; current samples use small counts
117	0x0042C567	fixed_raw_operands	6	6	4 raw operand bytes; field names pending data-flow audit	handler_specific_sequential_or_wait	0x00429F68:fixed_add:add word ptr [ebp+0], 6	assembly_confirmed	width confirmed; parameter meaning/state effects not yet complete
118	0x0042B8E6	fixed_raw_operands	4	4	2 raw operand bytes; field names pending data-flow audit	handler_specific_sequential_or_wait	0x0042B9AC:fixed_add:add word ptr [ebp+0], 4	assembly_confirmed	width confirmed; parameter meaning/state effects not yet complete
119	0x0042B9C2	fixed_raw_operands	4	4	2 raw operand bytes; field names pending data-flow audit	handler_specific_sequential_or_wait	0x0042BA17:fixed_add:add word ptr [ebp+0], 4|0x0042BA52:fixed_add:add word ptr [ebp+0], 4|0x0042BA7E:fixed_add:add word ptr [ebp+0], 4|0x0042BAA2:fixed_add:add word ptr [ebp+0], 4	assembly_confirmed	width confirmed; parameter meaning/state effects not yet complete
120	0x0042BAB8	fixed_raw_operands	10	10	8 raw operand bytes; field names pending data-flow audit	handler_specific_sequential_or_wait	0x0042BBC2:fixed_add:add word ptr [ebp+0], 0Ah|0x0042BC13:fixed_add:add word ptr [ebp+0], 0Ah	assembly_confirmed	width confirmed; parameter meaning/state effects not yet complete
121	0x0042BC2C	fixed_raw_operands	2	2	0 raw operand bytes; field names pending data-flow audit	handler_specific_sequential_or_wait	0x00427E84:fixed_add:add word ptr [ebp+0], 2	assembly_confirmed	width confirmed; parameter meaning/state effects not yet complete
122	0x0042BC3D	fixed_raw_operands	2	2	0 raw operand bytes; field names pending data-flow audit	handler_specific_sequential_or_wait	0x00427E84:fixed_add:add word ptr [ebp+0], 2	assembly_confirmed	width confirmed; parameter meaning/state effects not yet complete
123	0x0042BC4C	fixed_raw_operands	10	10	8 raw operand bytes; field names pending data-flow audit	handler_specific_sequential_or_wait	0x0042BCDF:fixed_add:add word ptr [ebp+0], 0Ah	assembly_confirmed	width confirmed; parameter meaning/state effects not yet complete
124	0x0042BCF5	fixed_raw_operands	2	2	0 raw operand bytes; field names pending data-flow audit	handler_specific_sequential_or_wait	0x00427E84:fixed_add:add word ptr [ebp+0], 2	assembly_confirmed	width confirmed; parameter meaning/state effects not yet complete
125	0x0042BD06	byte_string_percent_q	4 + byte_count_before_0x5125		byte string begins at +2; terminating bytes 25 51 are consumed	sequential_after_delimiter	0x0042BD51-0x0042BDB7	assembly_confirmed	copied into 0x100-byte allocation without a bound check
126	0x0042BDBC	fixed_raw_operands	10	10	8 raw operand bytes; field names pending data-flow audit	handler_specific_sequential_or_wait	0x0042BE64:fixed_add:add word ptr [ebp+0], 0Ah	assembly_confirmed	width confirmed; parameter meaning/state effects not yet complete
127	0x0042BDBC	fixed_raw_operands	10	10	8 raw operand bytes; field names pending data-flow audit	handler_specific_sequential_or_wait	0x0042BE64:fixed_add:add word ptr [ebp+0], 0Ah	assembly_confirmed	width confirmed; parameter meaning/state effects not yet complete
128	0x0042BE8A	fixed_raw_operands	6	6	4 raw operand bytes; field names pending data-flow audit	handler_specific_sequential_or_wait	0x0042BEF0:fixed_add:add word ptr [ebp+0], 6	assembly_confirmed	width confirmed; parameter meaning/state effects not yet complete
129	0x0042BEFE	fixed_raw_operands	8	8	6 raw operand bytes; field names pending data-flow audit	handler_specific_sequential_or_wait	0x004289AB:fixed_add:add word ptr [ebp+0], 8	assembly_confirmed	width confirmed; parameter meaning/state effects not yet complete
130	0x0042BEFE	fixed_raw_operands	8	8	6 raw operand bytes; field names pending data-flow audit	handler_specific_sequential_or_wait	0x004289AB:fixed_add:add word ptr [ebp+0], 8	assembly_confirmed	width confirmed; parameter meaning/state effects not yet complete
131	0x0042BF72	fixed_raw_operands	6	6	4 raw operand bytes; field names pending data-flow audit	handler_specific_sequential_or_wait	0x00429F68:fixed_add:add word ptr [ebp+0], 6	assembly_confirmed	width confirmed; parameter meaning/state effects not yet complete
132	0x0042C033	fixed_raw_operands	8	8	6 raw operand bytes; field names pending data-flow audit	handler_specific_sequential_or_wait	0x004289AB:fixed_add:add word ptr [ebp+0], 8	assembly_confirmed	width confirmed; parameter meaning/state effects not yet complete
133	0x0042C234	u16_zero_terminated	4 + 2*item_count		nonzero u16 items at +2; terminating u16 zero	sequential	0x0042C234-0x0042C2C1	assembly_confirmed	copied into 0x100-byte allocation without a count bound
134	0x0042C2C6	fixed_raw_operands	10	10	8 raw operand bytes; field names pending data-flow audit	handler_specific_sequential_or_wait	0x0042A2B3:fixed_add:add word ptr [ebp+0], 0Ah	assembly_confirmed	width confirmed; parameter meaning/state effects not yet complete
135	0x0042C3B0	fixed_raw_operands	2	2	0 raw operand bytes; field names pending data-flow audit	handler_specific_sequential_or_wait	0x0042C3E1:fixed_add:add word ptr [ebp+0], 2	assembly_confirmed	width confirmed; parameter meaning/state effects not yet complete
136	0x0042C567	fixed_raw_operands	6	6	4 raw operand bytes; field names pending data-flow audit	handler_specific_sequential_or_wait	0x00429F68:fixed_add:add word ptr [ebp+0], 6	assembly_confirmed	width confirmed; parameter meaning/state effects not yet complete
137	0x0042C3F7	fixed_raw_operands	2	2	0 raw operand bytes; field names pending data-flow audit	handler_specific_sequential_or_wait	0x0042C464:fixed_add:add word ptr [ebp+0], 2	assembly_confirmed	width confirmed; parameter meaning/state effects not yet complete
138	0x0042C49E	fixed_raw_operands	14	14	12 raw operand bytes; field names pending data-flow audit	handler_specific_sequential_or_wait	0x0042C554:fixed_add:add word ptr [ebp+0], 0Eh	assembly_confirmed	width confirmed; parameter meaning/state effects not yet complete
139	0x0042B9C2	fixed_raw_operands	4	4	2 raw operand bytes; field names pending data-flow audit	handler_specific_sequential_or_wait	0x0042BA17:fixed_add:add word ptr [ebp+0], 4|0x0042BA52:fixed_add:add word ptr [ebp+0], 4|0x0042BA7E:fixed_add:add word ptr [ebp+0], 4|0x0042BAA2:fixed_add:add word ptr [ebp+0], 4	assembly_confirmed	width confirmed; parameter meaning/state effects not yet complete
140	0x0042C567	fixed_raw_operands	6	6	4 raw operand bytes; field names pending data-flow audit	handler_specific_sequential_or_wait	0x00429F68:fixed_add:add word ptr [ebp+0], 6	assembly_confirmed	width confirmed; parameter meaning/state effects not yet complete
141	0x0042C6DD	fixed_raw_operands	6	6	4 raw operand bytes; field names pending data-flow audit	handler_specific_sequential_or_wait	0x0042C6F7:fixed_add:add word ptr [ebp+0], 6	assembly_confirmed	width confirmed; parameter meaning/state effects not yet complete
142	0x0042C732	fixed_raw_operands	8	8	6 raw operand bytes; field names pending data-flow audit	handler_specific_sequential_or_wait	0x0042C758:fixed_add:add word ptr [ebp+0], 8	assembly_confirmed	width confirmed; parameter meaning/state effects not yet complete
143	0x0042C766	fixed_raw_operands	2	2	0 raw operand bytes; field names pending data-flow audit	handler_specific_sequential_or_wait	0x0042C78F:fixed_add:add word ptr [ebp+0], 2	assembly_confirmed	width confirmed; parameter meaning/state effects not yet complete
144	0x0042C79D	fixed_raw_operands	4	4	2 raw operand bytes; field names pending data-flow audit	handler_specific_sequential_or_wait	0x0042C7ED:fixed_add:add word ptr [ebp+0], 4	assembly_confirmed	width confirmed; parameter meaning/state effects not yet complete
145	0x0042C567	fixed_raw_operands	6	6	4 raw operand bytes; field names pending data-flow audit	handler_specific_sequential_or_wait	0x00429F68:fixed_add:add word ptr [ebp+0], 6	assembly_confirmed	width confirmed; parameter meaning/state effects not yet complete
146	0x0042C567	fixed_raw_operands	6	6	4 raw operand bytes; field names pending data-flow audit	handler_specific_sequential_or_wait	0x00429F68:fixed_add:add word ptr [ebp+0], 6	assembly_confirmed	width confirmed; parameter meaning/state effects not yet complete
147	0x0042C7FB	fixed_raw_operands	2	2	0 raw operand bytes; field names pending data-flow audit	handler_specific_sequential_or_wait	0x0042C80C:fixed_add:add word ptr [ebp+0], 2	assembly_confirmed	width confirmed; parameter meaning/state effects not yet complete
148	0x0042C81A	fixed_raw_operands	2	2	0 raw operand bytes; field names pending data-flow audit	handler_specific_sequential_or_wait	0x0042C82B:fixed_add:add word ptr [ebp+0], 2	assembly_confirmed	width confirmed; parameter meaning/state effects not yet complete
149	0x0042C839	fixed_raw_operands	2	2	0 raw operand bytes; field names pending data-flow audit	handler_specific_sequential_or_wait	0x0042C84A:fixed_add:add word ptr [ebp+0], 2	assembly_confirmed	width confirmed; parameter meaning/state effects not yet complete
150	0x0042C858	fixed_raw_operands	6	6	4 raw operand bytes; field names pending data-flow audit	handler_specific_sequential_or_wait	0x0042C8EA:fixed_add:add word ptr [ebp+0], 6	assembly_confirmed	width confirmed; parameter meaning/state effects not yet complete
151	0x0042C8F8	fixed_raw_operands	10	10	8 raw operand bytes; field names pending data-flow audit	handler_specific_sequential_or_wait	0x0042C928:fixed_add:add word ptr [ebp+0], 0Ah	assembly_confirmed	width confirmed; parameter meaning/state effects not yet complete
152	0x0042C936	fixed_raw_operands	2	2	0 raw operand bytes; field names pending data-flow audit	handler_specific_sequential_or_wait	0x0042D1C7:fixed_add:add word ptr [ebp+0], 2	assembly_confirmed	width confirmed; parameter meaning/state effects not yet complete
153	0x0042B1F1	fixed_raw_operands	10	10	8 raw operand bytes; field names pending data-flow audit	handler_specific_sequential_or_wait	0x0042B279:fixed_add:add word ptr [ebp+0], 0Ah	assembly_confirmed	width confirmed; parameter meaning/state effects not yet complete
154	0x0042B4CA	fixed_raw_operands	4	4	2 raw operand bytes; field names pending data-flow audit	handler_specific_sequential_or_wait	0x0042B4F9:fixed_add:add word ptr [ebp+0], 4	assembly_confirmed	width confirmed; parameter meaning/state effects not yet complete
155	0x0042C95B	fixed_raw_operands	2	2	0 raw operand bytes; field names pending data-flow audit	handler_specific_sequential_or_wait	0x0042CF6E:fixed_add:add word ptr [ebp+0], 2	assembly_confirmed	width confirmed; parameter meaning/state effects not yet complete
156	0x0042C9CE	fixed_raw_operands	2	2	0 raw operand bytes; field names pending data-flow audit	handler_specific_sequential_or_wait	0x0042CF6E:fixed_add:add word ptr [ebp+0], 2	assembly_confirmed	width confirmed; parameter meaning/state effects not yet complete
157	0x0042CA3A	fixed_raw_operands	8	8	6 raw operand bytes; field names pending data-flow audit	handler_specific_sequential_or_wait	0x004289AB:fixed_add:add word ptr [ebp+0], 8	assembly_confirmed	width confirmed; parameter meaning/state effects not yet complete
158	0x0042CA7C	u16_prefix_then_byte_string_percent_q	6 + byte_count_before_0x5125		u16 prefix at +2; byte string at +4; terminating bytes 25 51 consumed	sequential_after_file_operation	0x0042CA7C-0x0042CBAB	assembly_confirmed	byte string copied to fixed FileName buffer without local bound check
159	0x0042CA7C	u16_prefix_then_byte_string_percent_q	6 + byte_count_before_0x5125		u16 prefix at +2; byte string at +4; terminating bytes 25 51 consumed	sequential_after_file_operation	0x0042CA7C-0x0042CBAB	assembly_confirmed	byte string copied to fixed FileName buffer without local bound check
160	0x0042CBB0	fixed_raw_operands	2	2	0 raw operand bytes; field names pending data-flow audit	handler_specific_sequential_or_wait	0x0042CBBE:fixed_add:add word ptr [ebp+0], 2	assembly_confirmed	width confirmed; parameter meaning/state effects not yet complete
161	0x0042CBCC	story_id_transfer	control transfer; physical footprint 4	4	s16 story id at +2	sub_42E480_select_file_and_reset_ip	0x0042CBCC-0x0042CBF5;0x0042E480-0x0042E594	assembly_confirmed	next bytes come from newly selected TALK file/slot, not sequential stream
162	0x0042B287	fixed_raw_operands	4	4	2 raw operand bytes; field names pending data-flow audit	handler_specific_sequential_or_wait	0x0042B32C:fixed_add:add word ptr [ebp+0], 4|0x0042D185:fixed_add:add word ptr [ebp+0], 4	assembly_confirmed	width confirmed; parameter meaning/state effects not yet complete
163	0x0042CBFF	current_map_conditional_reload	8	8	+2 i16 expected map; +4 u32 same-file target read only when not equal	conditional_same_file_reload	0x0042CBFF-0x0042CC30;0x00428444-0x00428455;0x0042CCD6-0x0042CCF2	assembly_confirmed	not-taken advances eight and same-calls; taken reloads target at IP zero without source advance
164	0x0042CBFF	current_map_conditional_reload	8	8	+2 i16 expected map; +4 u32 same-file target read only when equal	conditional_same_file_reload	0x0042CBFF-0x0042CC30;0x00428444-0x00428455;0x0042CCD6-0x0042CCF2	assembly_confirmed	not-taken advances eight and same-calls; taken reloads target at IP zero without source advance
165	0x0042CC35	item_total_conditional_reload	10	10	+2 u16 item id; +4 i16 threshold; +6 u32 same-file target read only when nonzero total is at least threshold	conditional_same_file_reload	0x0042CC35-0x0042CCF2;0x0042A2B0-0x0042A2C1;0x0042E430-0x0042E47B	assembly_confirmed	zero total is an explicit not-taken special case; not-taken advances ten and same-calls
166	0x0042CC35	item_total_conditional_reload	10	10	+2 u16 item id; +4 i16 threshold; +6 u32 same-file target read for zero total or nonzero total at most threshold	conditional_same_file_reload	0x0042CC35-0x0042CCF2;0x0042A2B0-0x0042A2C1;0x0042E430-0x0042E47B	assembly_confirmed	zero total is an explicit taken special case; not-taken advances ten and same-calls
167	0x0042BEFE	fixed_raw_operands	8	8	6 raw operand bytes; field names pending data-flow audit	handler_specific_sequential_or_wait	0x004289AB:fixed_add:add word ptr [ebp+0], 8	assembly_confirmed	width confirmed; parameter meaning/state effects not yet complete
168	0x0042BEFE	fixed_raw_operands	8	8	6 raw operand bytes; field names pending data-flow audit	handler_specific_sequential_or_wait	0x004289AB:fixed_add:add word ptr [ebp+0], 8	assembly_confirmed	width confirmed; parameter meaning/state effects not yet complete
169	0x0042ADB7	counted_records_12byte	4 + 12*u14_count		u16 count/flags at +2; count records of 12 bytes	wait_until_ready_then_sequential	0x0042ADB7-0x0042B06E	assembly_confirmed	count is low 14 bits; bit 14 selects wait/preflight branch
170	0x0042CCF7	fixed_even_variant	2	2	none	sequential	0x0042CCF7-0x0042CDA1	assembly_confirmed	even opcode skips embedded string
171	0x0042CCF7	byte_string_percent_q	4 + byte_count_before_0x5125		byte string at +2; terminating bytes 25 51 consumed	sequential	0x0042CCF7-0x0042CDA1	assembly_confirmed	odd opcode embeds string
172	0x0042CCF7	fixed_even_variant	2	2	none	sequential	0x0042CCF7-0x0042CDA1	assembly_confirmed	even opcode skips embedded string
173	0x0042CCF7	byte_string_percent_q	4 + byte_count_before_0x5125		byte string at +2; terminating bytes 25 51 consumed	sequential	0x0042CCF7-0x0042CDA1	assembly_confirmed	odd opcode embeds string
174	0x0042C567	fixed_raw_operands	6	6	4 raw operand bytes; field names pending data-flow audit	handler_specific_sequential_or_wait	0x00429F68:fixed_add:add word ptr [ebp+0], 6	assembly_confirmed	width confirmed; parameter meaning/state effects not yet complete
175	0x0042CDED	fixed_raw_operands	2	2	0 raw operand bytes; field names pending data-flow audit	handler_specific_sequential_or_wait	0x0042CE03:fixed_add:add word ptr [ebp+0], 2	assembly_confirmed	width confirmed; parameter meaning/state effects not yet complete
176	0x0042CE12	fixed_raw_operands	2	2	0 raw operand bytes; field names pending data-flow audit	handler_specific_sequential_or_wait	0x0042CE28:fixed_add:add word ptr [ebp+0], 2	assembly_confirmed	width confirmed; parameter meaning/state effects not yet complete
177	0x0042CE32	fixed_raw_operands	2	2	0 raw operand bytes; field names pending data-flow audit	handler_specific_sequential_or_wait	0x0042CF6E:fixed_add:add word ptr [ebp+0], 2	assembly_confirmed	width confirmed; parameter meaning/state effects not yet complete
178	0x0042CF7C	fixed_raw_operands	4	4	2 raw operand bytes; field names pending data-flow audit	handler_specific_sequential_or_wait	0x0042D185:fixed_add:add word ptr [ebp+0], 4	assembly_confirmed	width confirmed; parameter meaning/state effects not yet complete
179	0x0042CFBD	fixed_raw_operands	10	10	8 raw operand bytes; field names pending data-flow audit	handler_specific_sequential_or_wait	0x0042A2B3:fixed_add:add word ptr [ebp+0], 0Ah	assembly_confirmed	width confirmed; parameter meaning/state effects not yet complete
180	0x0042D041	fixed_raw_operands	2	2	0 raw operand bytes; field names pending data-flow audit	handler_specific_sequential_or_wait	0x0042D04E:fixed_add:add word ptr [ebp+0], 2	assembly_confirmed	width confirmed; parameter meaning/state effects not yet complete
181	0x0042B070	fixed_shared_numeric	8	8	s16 index; s32 value	sequential	0x0042B070-0x0042B1EC	assembly_confirmed	shared handler refines by opcode
182	0x0042B070	fixed_shared_numeric	8	8	s16 index; s32 value	sequential	0x0042B070-0x0042B1EC	assembly_confirmed	shared handler refines by opcode
183	0x0042B070	fixed_shared_numeric	8	8	s16 index; s32 value	sequential	0x0042B070-0x0042B1EC	assembly_confirmed	shared handler refines by opcode
184	0x0042B070	fixed_shared_numeric	12	12	s16 index; s32 value; u32 branch target	conditional_transfer_or_sequential	0x0042B070-0x0042B1EC	assembly_confirmed	shared handler refines by opcode
185	0x0042B070	fixed_shared_numeric	12	12	s16 index; s32 value; u32 branch target	conditional_transfer_or_sequential	0x0042B070-0x0042B1EC	assembly_confirmed	shared handler refines by opcode
186	0x0042D05C	fixed_raw_operands	10	10	8 raw operand bytes; field names pending data-flow audit	handler_specific_sequential_or_wait	0x0042A2B3:fixed_add:add word ptr [ebp+0], 0Ah	assembly_confirmed	width confirmed; parameter meaning/state effects not yet complete
187	0x0042D05C	fixed_raw_operands	10	10	8 raw operand bytes; field names pending data-flow audit	handler_specific_sequential_or_wait	0x0042A2B3:fixed_add:add word ptr [ebp+0], 0Ah	assembly_confirmed	width confirmed; parameter meaning/state effects not yet complete
188	0x0042D0D8	fixed_raw_operands	6	6	4 raw operand bytes; field names pending data-flow audit	handler_specific_sequential_or_wait	0x00429F68:fixed_add:add word ptr [ebp+0], 6	assembly_confirmed	width confirmed; parameter meaning/state effects not yet complete
189	0x0042D0D8	fixed_raw_operands	6	6	4 raw operand bytes; field names pending data-flow audit	handler_specific_sequential_or_wait	0x00429F68:fixed_add:add word ptr [ebp+0], 6	assembly_confirmed	width confirmed; parameter meaning/state effects not yet complete
190	0x0042D0D8	fixed_raw_operands	6	6	4 raw operand bytes; field names pending data-flow audit	handler_specific_sequential_or_wait	0x00429F68:fixed_add:add word ptr [ebp+0], 6	assembly_confirmed	width confirmed; parameter meaning/state effects not yet complete
191	0x0042D170	fixed_raw_operands	4	4	2 raw operand bytes; field names pending data-flow audit	handler_specific_sequential_or_wait	0x0042D185:fixed_add:add word ptr [ebp+0], 4	assembly_confirmed	width confirmed; parameter meaning/state effects not yet complete
192	0x0042D1AA	fixed_raw_operands	2	2	0 raw operand bytes; field names pending data-flow audit	handler_specific_sequential_or_wait	0x0042D1C7:fixed_add:add word ptr [ebp+0], 2	assembly_confirmed	width confirmed; parameter meaning/state effects not yet complete
193	0x0042D1D5	fixed_raw_operands	2	2	0 raw operand bytes; field names pending data-flow audit	handler_specific_sequential_or_wait	0x0042D1ED:fixed_add:add word ptr [ebp+0], 2	assembly_confirmed	width confirmed; parameter meaning/state effects not yet complete
1024	0x0042D200	fixed_control	2	2	none	advance_and_continue_same_call	0x0042D200-0x0042D214	assembly_confirmed	table-external special
1025	0x0042D49F	fixed_control	2	2	none	advance_and_yield	0x0042D49F-0x0042D4B1	assembly_confirmed	table-external special
1026	0x0042D1EA	fixed_control	2	2	none	advance_and_continue_same_call	0x0042D1EA-0x0042D1FB	assembly_confirmed	table-external special
16383	0x0042D24E	terminator	2	2	none	TalkEnd_cleanup	0x0042D24E-0x0042D49A	assembly_confirmed	does not need a sequential successor
