audit_order	entry_target	explicit_opcode_count	effective_opcodes	shared_entry	dispatch_kinds	internal_refinement	encoding_classes_navigation	control_effects_navigation	manual_semantics_rows	manual_semantics_opcodes	modern_case_presence	modern_case_opcodes	asset_observed_rows	asset_observed_opcodes	candidate_port_modules_navigation	direct_call_targets_navigation	unresolved_edges_navigation	closure_status	closure_evidence	closure_proof	closure_rule
69	0x0042A727	1	88	no	main_table		fixed_raw_operands	handler_specific_sequential_or_wait	1/1	88	all	88	1/1	88	story_scene,world_map	sub_40F500|sub_40F570		platform_adapted	story-vm-battle-request-0042a727.md	assembly_exact;unit_tested;real_asset_tested;platform_adapted;sdl_runtime_integrated;staged_unsafe_order_tested;external_dependency_tested	existing semantics/C++/asset/triage fields are navigation only; independently audit full LST entry and every opcode variant
70	0x0042B287	2	91,162	yes	main_table,secondary_table		fixed_raw_operands	handler_specific_sequential_or_wait	2/2	91,162	all	91,162	2/2	91,162	runtime_platform,story_scene	edi|nullsub_1|sub_40BAA0		platform_adapted	story-vm-name-record-load-0042b287.md	assembly_exact;unit_tested;real_asset_tested;platform_adapted;sdl_runtime_integrated;shared_handler_all_variants_tested;staged_unsafe_order_tested;u32_wrap_tested	existing semantics/C++/asset/triage fields are navigation only; independently audit full LST entry and every opcode variant
71	0x0042A756	1	92	no	main_table		fixed_raw_operands	handler_specific_sequential_or_wait	1/1	92	all	92	0/1		runtime_platform,story_scene	nullsub_1|sub_40DC80		platform_adapted	story-vm-reserved-global-bit-set-0042a756.md	assembly_exact;unit_tested;asset_absence_verified;platform_adapted;sdl_runtime_integrated;u32_wrap_tested;unsafe_owner_boundary_tested	existing semantics/C++/asset/triage fields are navigation only; independently audit full LST entry and every opcode variant
72	0x0042A792	1	93	no	main_table		fixed_raw_operands	handler_specific_sequential_or_wait	1/1	93	all	93	0/1		runtime_platform,story_scene	nullsub_1|sub_40DCB0		platform_adapted	story-vm-reserved-global-bit-clear-0042a792.md	assembly_exact;unit_tested;asset_absence_verified;platform_adapted;sdl_runtime_integrated;u32_wrap_tested;unsafe_owner_boundary_tested	existing semantics/C++/asset/triage fields are navigation only; independently audit full LST entry and every opcode variant
73	0x0042A7CE	1	94	no	main_table		fixed_raw_operands	handler_specific_sequential_or_wait	1/1	94	all	94	1/1	94	story_scene			platform_adapted	story-vm-scene-render-bit1-set-0042a7ce.md	assembly_exact;unit_tested;real_asset_tested;platform_adapted;sdl_runtime_integrated;exact_tail_tested;typed_owner_boundary_tested	existing semantics/C++/asset/triage fields are navigation only; independently audit full LST entry and every opcode variant
74	0x0042A7EE	1	95	no	main_table		fixed_raw_operands	handler_specific_sequential_or_wait	1/1	95	all	95	1/1	95	story_scene			platform_adapted	story-vm-scene-render-bit1-clear-0042a7ee.md	assembly_exact;unit_tested;real_asset_tested;platform_adapted;sdl_runtime_integrated;exact_tail_tested;typed_owner_boundary_tested	existing semantics/C++/asset/triage fields are navigation only; independently audit full LST entry and every opcode variant
75	0x0042A80E	1	96	no	main_table		byte_string_percent_q_with_prefix_flags	sequential_then_open_custom_ani	1/1	96	all	96	1/1	96	asset_runtime,audio_video,input_time_rng,rendering,resource_io,runtime_platform,special_modes,story_scene	??2@YAPAXI@Z|??3@YAXPAX@Z|_AIL_serve@0|_malloc|ds:Sleep|ds:lstrcatA|ds:lstrcpyA|dword ptr [ecx+14h]|esi|nullsub_1|sub_40DD20|sub_40DD30|sub_4118B0|sub_411F90|sub_4158C0|sub_4238B0|sub_437DF0|sub_438000|sub_438030|sub_4380B0|sub_438150|sub_438380|sub_4384C0|sub_438640|sub_4885A0		platform_adapted	story-vm-custom-ani-start-0042a80e.md	assembly_exact;unit_tested;real_asset_tested;platform_adapted;sdl_runtime_integrated;external_dependency_tested;exact_tail_tested	existing semantics/C++/asset/triage fields are navigation only; independently audit full LST entry and every opcode variant
76	0x0042AD3C	1	97	no	main_table		fixed_raw_operands	handler_specific_sequential_or_wait	1/1	97	all	97	1/1	97	input_time_rng,story_scene	sub_40DD20|sub_40DD30		platform_adapted	story-vm-custom-ani-wait-0042ad3c.md	assembly_exact;unit_tested;real_asset_tested;platform_adapted;sdl_runtime_integrated;external_dependency_tested;exact_tail_tested	existing semantics/C++/asset/triage fields are navigation only; independently audit full LST entry and every opcode variant
77	0x0042C7EA	1	98	no	main_table		fixed_raw_operands	handler_specific_sequential_or_wait	1/1	98	all	98	1/1	98	story_scene			assembly_exact	story-vm-four-byte-noop-0042c7ea.md	assembly_exact;unit_tested;real_asset_tested;exact_tail_tested;unread_payload_tested	existing semantics/C++/asset/triage fields are navigation only; independently audit full LST entry and every opcode variant
78	0x0042AD75	1	99	no	special_eq_99		fixed_raw_operands	handler_specific_sequential_or_wait	1/1	99	all	99	1/1	99	story_scene			platform_adapted	story-vm-custom-ani-phase-wait-0042ad75.md	assembly_exact;unit_tested;real_asset_tested;platform_adapted;sdl_runtime_integrated;external_dependency_tested;exact_tail_tested;signed_comparison_tested;staged_operand_tested	existing semantics/C++/asset/triage fields are navigation only; independently audit full LST entry and every opcode variant
79	0x0042B3B0	1	100	no	secondary_table		fixed_raw_operands	handler_specific_sequential_or_wait	1/1	100	all	100	1/1	100	story_scene,world_map	sub_40C0D0|sub_40D460		platform_adapted	story-vm-role-talk-script-write-0042b3b0.md	assembly_exact;unit_tested;real_asset_tested;platform_adapted;sdl_runtime_integrated;external_dependency_tested;exact_tail_tested;staged_operand_tested;selector_alias_tested	existing semantics/C++/asset/triage fields are navigation only; independently audit full LST entry and every opcode variant
80	0x0042B43B	1	101	no	secondary_table		fixed_raw_operands	handler_specific_sequential_or_wait	1/1	101	all	101	1/1	101	story_scene,world_map	sub_40C0D0		assembly_exact	story-vm-role-status-bit26-set-0042b43b.md	assembly_exact;unit_tested;real_asset_tested;sdl_runtime_integrated;external_dependency_tested;exact_tail_tested;staged_operand_tested;selector_alias_tested	existing semantics/C++/asset/triage fields are navigation only; independently audit full LST entry and every opcode variant
81	0x0042C567	8	102-103,117,136,140,145-146,174	yes	secondary_table	shared_flag_selection_refinement	fixed_raw_operands	handler_specific_sequential_or_wait	8/8	102-103,117,136,140,145-146,174	all	102-103,117,136,140,145-146,174	6/8	102-103,117,136,140,146	runtime_platform,story_scene,world_map	edi|nullsub_1|sub_40AE20|sub_40AEC0|sub_40C0D0|sub_40D460		platform_adapted	story-vm-role-status-boolean-flags-0042c567.md	assembly_exact;unit_tested;real_asset_tested;asset_absence_verified;platform_adapted;sdl_runtime_integrated;external_dependency_tested;exact_tail_tested;staged_operand_tested;selector_alias_tested;partial_failure_tested	existing semantics/C++/asset/triage fields are navigation only; independently audit full LST entry and every opcode variant
82	0x0042B47E	1	104	no	secondary_table		fixed_raw_operands	handler_specific_sequential_or_wait	1/1	104	all	104	1/1	104	story_scene			platform_adapted	story-vm-text-layout-pair-0042b47e.md	assembly_exact;unit_tested;real_asset_tested;platform_adapted;sdl_runtime_integrated;exact_tail_tested;staged_operand_tested;signed_operand_tested;partial_failure_tested	existing semantics/C++/asset/triage fields are navigation only; independently audit full LST entry and every opcode variant
83	0x0042B4B9	1	105	no	secondary_table		fixed_raw_operands	handler_specific_sequential_or_wait	1/1	105	all	105	1/1	105	story_scene			assembly_exact	story-vm-text-control-bit27-clear-0042b4b9.md	assembly_exact;unit_tested;real_asset_tested;sdl_runtime_integrated;exact_tail_tested;selector_alias_tested	existing semantics/C++/asset/triage fields are navigation only; independently audit full LST entry and every opcode variant
84	0x0042B4CA	2	106,154	yes	secondary_table		fixed_raw_operands	handler_specific_sequential_or_wait	2/2	106,154	all	106,154	1/2	106	story_scene			platform_adapted	story-vm-picture-action-byte-wait-0042b4ca.md	assembly_exact;unit_tested;real_asset_tested;asset_absence_verified;platform_adapted;sdl_runtime_integrated;external_dependency_tested;exact_tail_tested;staged_operand_tested;selector_alias_tested	existing semantics/C++/asset/triage fields are navigation only; independently audit full LST entry and every opcode variant
85	0x0042B50F	1	107	no	secondary_table		fixed_raw_operands	handler_specific_sequential_or_wait	1/1	107	all	107	1/1	107	runtime_platform,story_scene,world_map	nullsub_1|sub_40C0D0		assembly_exact	story-vm-role-action-index-wait-0042b50f.md	assembly_exact;unit_tested;real_asset_tested;sdl_runtime_integrated;external_dependency_tested;exact_tail_tested;staged_operand_tested;selector_alias_tested	existing semantics/C++/asset/triage fields are navigation only; independently audit full LST entry and every opcode variant
86	0x0042B5F2	1	108	no	secondary_table		fixed_raw_operands	handler_specific_sequential_or_wait	1/1	108	all	108	0/1		story_scene			assembly_exact	story-vm-next-dialog-anchor-0042b5f2.md	assembly_exact;unit_tested;asset_absence_verified;sdl_runtime_integrated;external_dependency_tested;exact_tail_tested;staged_operand_tested;selector_alias_tested;partial_failure_tested	existing semantics/C++/asset/triage fields are navigation only; independently audit full LST entry and every opcode variant
87	0x0042B63C	1	109	no	secondary_table		counted_u16_list	sequential	1/1	109	all	109	1/1	109	story_scene,world_map	sub_40C0D0|sub_42E280		platform_adapted	story-vm-role-step-list-0042b63c.md	assembly_exact;unit_tested;real_asset_tested;platform_adapted;sdl_runtime_integrated;external_dependency_tested;exact_tail_tested;staged_operand_tested;selector_alias_tested;partial_failure_tested;wrapping_tested	existing semantics/C++/asset/triage fields are navigation only; independently audit full LST entry and every opcode variant
88	0x0042B6A5	2	110-111	yes	secondary_table		fixed_raw_operands	handler_specific_sequential_or_wait	2/2	110-111	all	110-111	1/2	111	story_scene	sub_42E430		platform_adapted	story-vm-secondary-role-bit30-reload-0042b6a5.md	assembly_exact;unit_tested;real_asset_tested;asset_absence_verified;platform_adapted;sdl_runtime_integrated;external_dependency_tested;exact_tail_tested;staged_operand_tested;selector_alias_tested;partial_failure_tested;shared_handler_all_variants_tested;unread_payload_tested;typed_owner_boundary_tested	existing semantics/C++/asset/triage fields are navigation only; independently audit full LST entry and every opcode variant
89	0x0042B70C	1	112	no	secondary_table		fixed_raw_operands	handler_specific_sequential_or_wait	1/1	112	all	112	1/1	112	story_scene			platform_adapted	story-vm-overlay-action-lists-wait-0042b70c.md	assembly_exact;unit_tested;real_asset_tested;platform_adapted;sdl_runtime_integrated;external_dependency_tested;exact_tail_tested;selector_alias_tested;typed_owner_boundary_tested	existing semantics/C++/asset/triage fields are navigation only; independently audit full LST entry and every opcode variant
90	0x0042B723	1	113	no	secondary_table		fixed_raw_operands	handler_specific_sequential_or_wait	1/1	113	all	113	0/1		audio_video,story_scene	sub_485610		platform_adapted	story-vm-sound-effect-unread-padding-0042b723.md	assembly_exact;unit_tested;asset_absence_verified;platform_adapted;sdl_runtime_integrated;external_dependency_tested;exact_tail_tested;staged_operand_tested;selector_alias_tested;unread_payload_tested;wrapping_tested	existing semantics/C++/asset/triage fields are navigation only; independently audit full LST entry and every opcode variant
91	0x0042B739	1	114	no	secondary_table		fixed_raw_operands	handler_specific_sequential_or_wait	1/1	114	all	114	1/1	114	audio_video,runtime_platform,story_scene	edi|nullsub_1|sub_485880		platform_adapted	story-vm-scene-music-stream-request-0042b739.md	assembly_exact;unit_tested;real_asset_tested;platform_adapted;sdl_runtime_integrated;external_dependency_tested;exact_tail_tested;staged_operand_tested;selector_alias_tested;partial_failure_tested	existing semantics/C++/asset/triage fields are navigation only; independently audit full LST entry and every opcode variant
92	0x0042B7FC	1	115	no	secondary_table		fixed_raw_operands	handler_specific_sequential_or_wait	1/1	115	all	115	0/1		audio_video,story_scene	sub_485850		platform_adapted	story-vm-music-stream-volume-0042b7fc.md	assembly_exact;unit_tested;asset_absence_verified;platform_adapted;sdl_runtime_integrated;external_dependency_tested;exact_tail_tested;staged_operand_tested;selector_alias_tested	existing semantics/C++/asset/triage fields are navigation only; independently audit full LST entry and every opcode variant
93	0x0042B83A	1	116	no	secondary_table		counted_6byte_records	sequential	1/1	116	all	116	1/1	116	story_scene,world_map	sub_40C0D0|sub_42DAF0		platform_adapted	story-vm-batch-role-position-0042b83a.md	assembly_exact;unit_tested;real_asset_tested;platform_adapted;sdl_runtime_integrated;external_dependency_tested;exact_tail_tested;staged_operand_tested;selector_alias_tested;partial_failure_tested;wrapping_tested	existing semantics/C++/asset/triage fields are navigation only; independently audit full LST entry and every opcode variant
94	0x0042B8E6	1	118	no	secondary_table		fixed_raw_operands	handler_specific_sequential_or_wait	1/1	118	all	118	1/1	118	resource_io,story_scene,world_map	sub_40C060|sub_4885A0		platform_adapted	story-vm-dialog-role-remove-0042b8e6.md	assembly_exact;unit_tested;real_asset_tested;platform_adapted;sdl_runtime_integrated;exact_tail_tested;staged_operand_tested;selector_alias_tested;partial_failure_tested;shared_owner_tested	existing semantics/C++/asset/triage fields are navigation only; independently audit full LST entry and every opcode variant
95	0x0042B9C2	2	119,139	yes	secondary_table		fixed_raw_operands	handler_specific_sequential_or_wait	2/2	119,139	all	119,139	2/2	119,139	runtime_platform,story_scene,world_map	nullsub_1|sub_40C0D0		platform_adapted	story-vm-dialog-flag-wait-0042b9c2.md	assembly_exact;unit_tested;real_asset_tested;platform_adapted;sdl_runtime_integrated;exact_tail_tested;staged_operand_tested;selector_alias_tested;shared_handler_all_variants_tested;shared_owner_tested;typed_owner_boundary_tested	existing semantics/C++/asset/triage fields are navigation only; independently audit full LST entry and every opcode variant
96	0x0042BAB8	1	120	no	secondary_table		fixed_raw_operands	handler_specific_sequential_or_wait	1/1	120	all	120	1/1	120	asset_runtime,runtime_platform,story_scene,world_map	nullsub_1|sub_40C0D0|sub_40D460|sub_4321E0		platform_adapted	story-vm-role-action-fields-0042bab8.md	assembly_exact;unit_tested;real_asset_tested;platform_adapted;sdl_runtime_integrated;exact_tail_tested;staged_operand_tested;selector_alias_tested;partial_failure_tested;external_dependency_tested;typed_owner_boundary_tested	existing semantics/C++/asset/triage fields are navigation only; independently audit full LST entry and every opcode variant
97	0x0042BC2C	1	121	no	secondary_table		fixed_raw_operands	handler_specific_sequential_or_wait	1/1	121	all	121	1/1	121	story_scene			assembly_exact	story-vm-text-control-bit26-clear-0042bc2c.md	assembly_exact;unit_tested;real_asset_tested;sdl_runtime_integrated;exact_tail_tested;selector_alias_tested;shared_owner_tested	existing semantics/C++/asset/triage fields are navigation only; independently audit full LST entry and every opcode variant
98	0x0042BC3D	1	122	no	secondary_table		fixed_raw_operands	handler_specific_sequential_or_wait	1/1	122	all	122	1/1	122	story_scene			platform_adapted	story-vm-speed-mode-clear-0042bc3d.md	assembly_exact;unit_tested;real_asset_tested;platform_adapted;sdl_runtime_integrated;exact_tail_tested;selector_alias_tested;shared_owner_tested;typed_owner_boundary_tested	existing semantics/C++/asset/triage fields are navigation only; independently audit full LST entry and every opcode variant
99	0x0042BC4C	1	123	no	secondary_table		fixed_raw_operands	handler_specific_sequential_or_wait	1/1	123	all	123	1/1	123	runtime_platform,story_scene	nullsub_1		platform_adapted	story-vm-scene-music-table-entry-0042bc4c.md	assembly_exact;unit_tested;real_asset_tested;platform_adapted;sdl_runtime_integrated;exact_tail_tested;staged_operand_tested;selector_alias_tested;partial_failure_tested;typed_owner_boundary_tested	existing semantics/C++/asset/triage fields are navigation only; independently audit full LST entry and every opcode variant
100	0x0042BCF5	1	124	no	secondary_table		fixed_raw_operands	handler_specific_sequential_or_wait	1/1	124	all	124	0/1		story_scene			assembly_exact	story-vm-text-control-bit25-clear-0042bcf5.md	assembly_exact;unit_tested;asset_absence_verified;sdl_runtime_integrated;exact_tail_tested;selector_alias_tested;shared_owner_tested	existing semantics/C++/asset/triage fields are navigation only; independently audit full LST entry and every opcode variant
101	0x0042BD06	1	125	no	secondary_table		byte_string_percent_q	sequential_after_delimiter	1/1	125	all	125	0/1		special_modes,story_scene	_malloc		platform_adapted	story-vm-text-allocation-append-0042bd06.md	assembly_exact;unit_tested;asset_absence_verified;platform_adapted;sdl_runtime_integrated;exact_tail_tested;staged_operand_tested;selector_alias_tested;partial_failure_tested;shared_owner_tested;typed_owner_boundary_tested	existing semantics/C++/asset/triage fields are navigation only; independently audit full LST entry and every opcode variant
102	0x0042BDBC	2	126-127	yes	secondary_table		fixed_raw_operands	handler_specific_sequential_or_wait	2/2	126-127	all	126-127	1/2	126	resource_io,special_modes,story_scene,world_map	_malloc|sub_40C0D0|sub_40D560|sub_42E430|sub_4885A0		platform_adapted	story-vm-role-base-variant-reload-0042bdbc.md	assembly_exact;unit_tested;real_asset_tested;asset_absence_verified;platform_adapted;sdl_runtime_integrated;exact_tail_tested;staged_operand_tested;selector_alias_tested;shared_handler_all_variants_tested;partial_failure_tested;shared_owner_tested;external_dependency_tested;typed_owner_boundary_tested	existing semantics/C++/asset/triage fields are navigation only; independently audit full LST entry and every opcode variant
103	0x0042BE8A	1	128	no	secondary_table		fixed_raw_operands	handler_specific_sequential_or_wait	0/1		none		1/1	128	runtime_platform,special_modes,story_scene	edi|nullsub_1|sub_44D2D0		pending_audit			existing semantics/C++/asset/triage fields are navigation only; independently audit full LST entry and every opcode variant
104	0x0042BEFE	4	129-130,167-168	yes	secondary_table		fixed_raw_operands	handler_specific_sequential_or_wait	0/4		none		4/4	129-130,167-168	special_modes,story_scene	sub_42E430|sub_44D650|sub_44D680		pending_audit			existing semantics/C++/asset/triage fields are navigation only; independently audit full LST entry and every opcode variant
105	0x0042BF72	1	131	no	secondary_table		fixed_raw_operands	handler_specific_sequential_or_wait	0/1		none		0/1		runtime_platform,special_modes,story_scene	nullsub_1|sub_44D0F0|sub_44D2D0|sub_44D680		pending_audit			existing semantics/C++/asset/triage fields are navigation only; independently audit full LST entry and every opcode variant
106	0x0042C033	1	132	no	secondary_table		fixed_raw_operands	handler_specific_sequential_or_wait	0/1		none		0/1		resource_io,runtime_platform,special_modes,story_scene	_malloc|ds:lstrlenA|ebx|nullsub_1|sub_44D2D0|sub_44D680|sub_4885A0		pending_audit			existing semantics/C++/asset/triage fields are navigation only; independently audit full LST entry and every opcode variant
107	0x0042C234	1	133	no	secondary_table		u16_zero_terminated	sequential	0/1		none		1/1	133	resource_io,special_modes,story_scene	_malloc|sub_4885A0		pending_audit			existing semantics/C++/asset/triage fields are navigation only; independently audit full LST entry and every opcode variant
108	0x0042C2C6	1	134	no	secondary_table		fixed_raw_operands	handler_specific_sequential_or_wait	0/1		none		1/1	134	runtime_platform,story_scene	nullsub_1		pending_audit			existing semantics/C++/asset/triage fields are navigation only; independently audit full LST entry and every opcode variant
109	0x0042C3B0	1	135	no	secondary_table		fixed_raw_operands	handler_specific_sequential_or_wait	0/1		none		0/1		audio_video,special_modes,story_scene	_AIL_serve@0|sub_406D30		pending_audit			existing semantics/C++/asset/triage fields are navigation only; independently audit full LST entry and every opcode variant
110	0x0042C3F7	1	137	no	secondary_table		fixed_raw_operands	handler_specific_sequential_or_wait	0/1		none		1/1	137	audio_video,runtime_platform,story_scene	edi|nullsub_1|sub_485880		pending_audit			existing semantics/C++/asset/triage fields are navigation only; independently audit full LST entry and every opcode variant
111	0x0042C49E	1	138	no	secondary_table		fixed_raw_operands	handler_specific_sequential_or_wait	0/1		none		1/1	138	battle,runtime_platform,story_scene,world_map	__ftol|nullsub_1|sub_40C0D0|sub_42E430		pending_audit			existing semantics/C++/asset/triage fields are navigation only; independently audit full LST entry and every opcode variant
112	0x0042C6DD	1	141	no	secondary_table		fixed_raw_operands	handler_specific_sequential_or_wait	0/1		all	141	1/1	141	runtime_platform,story_scene	edi|nullsub_1		pending_audit			existing semantics/C++/asset/triage fields are navigation only; independently audit full LST entry and every opcode variant
113	0x0042C732	1	142	no	secondary_table		fixed_raw_operands	handler_specific_sequential_or_wait	0/1		none		1/1	142	rendering,story_scene	sub_430B60		pending_audit			existing semantics/C++/asset/triage fields are navigation only; independently audit full LST entry and every opcode variant
114	0x0042C766	1	143	no	secondary_table		fixed_raw_operands	handler_specific_sequential_or_wait	0/1		none		1/1	143	story_scene	sub_40DCB0		pending_audit			existing semantics/C++/asset/triage fields are navigation only; independently audit full LST entry and every opcode variant
115	0x0042C79D	1	144	no	secondary_table		fixed_raw_operands	handler_specific_sequential_or_wait	0/1		none		1/1	144	special_modes,story_scene	sub_406D30		pending_audit			existing semantics/C++/asset/triage fields are navigation only; independently audit full LST entry and every opcode variant
116	0x0042C7FB	1	147	no	secondary_table		fixed_raw_operands	handler_specific_sequential_or_wait	0/1		none		1/1	147	story_scene	sub_40DC80		pending_audit			existing semantics/C++/asset/triage fields are navigation only; independently audit full LST entry and every opcode variant
117	0x0042C81A	1	148	no	secondary_table		fixed_raw_operands	handler_specific_sequential_or_wait	0/1		none		0/1		story_scene	sub_40DC80		pending_audit			existing semantics/C++/asset/triage fields are navigation only; independently audit full LST entry and every opcode variant
118	0x0042C839	1	149	no	secondary_table		fixed_raw_operands	handler_specific_sequential_or_wait	0/1		none		0/1		story_scene	sub_40DCB0		pending_audit			existing semantics/C++/asset/triage fields are navigation only; independently audit full LST entry and every opcode variant
119	0x0042C858	1	150	no	secondary_table		fixed_raw_operands	handler_specific_sequential_or_wait	0/1		none		0/1		story_scene			pending_audit			existing semantics/C++/asset/triage fields are navigation only; independently audit full LST entry and every opcode variant
120	0x0042C8F8	1	151	no	secondary_table		fixed_raw_operands	handler_specific_sequential_or_wait	0/1		none		0/1		story_scene			pending_audit			existing semantics/C++/asset/triage fields are navigation only; independently audit full LST entry and every opcode variant
121	0x0042C936	1	152	no	secondary_table		fixed_raw_operands	handler_specific_sequential_or_wait	0/1		none		0/1		story_scene			pending_audit			existing semantics/C++/asset/triage fields are navigation only; independently audit full LST entry and every opcode variant
122	0x0042C95B	1	155	no	secondary_table		fixed_raw_operands	handler_specific_sequential_or_wait	0/1		none		0/1		runtime_platform,story_scene	nullsub_1|sub_42E790		pending_audit			existing semantics/C++/asset/triage fields are navigation only; independently audit full LST entry and every opcode variant
123	0x0042C9CE	1	156	no	secondary_table		fixed_raw_operands	handler_specific_sequential_or_wait	0/1		none		1/1	156	runtime_platform,story_scene	nullsub_1|sub_42E790		pending_audit			existing semantics/C++/asset/triage fields are navigation only; independently audit full LST entry and every opcode variant
124	0x0042CA3A	1	157	no	secondary_table		fixed_raw_operands	handler_specific_sequential_or_wait	0/1		none		0/1		runtime_platform,story_scene	nullsub_1		pending_audit			existing semantics/C++/asset/triage fields are navigation only; independently audit full LST entry and every opcode variant
125	0x0042CA7C	2	158-159	yes	secondary_table		u16_prefix_then_byte_string_percent_q	sequential_after_file_operation	0/2		none		0/2		resource_io,special_modes,story_scene	_malloc|ds:CopyFileA|ds:DeleteFileA|edi|sub_4885A0		pending_audit			existing semantics/C++/asset/triage fields are navigation only; independently audit full LST entry and every opcode variant
126	0x0042CBB0	1	160	no	secondary_table		fixed_raw_operands	handler_specific_sequential_or_wait	0/1		none		1/1	160	story_scene			pending_audit			existing semantics/C++/asset/triage fields are navigation only; independently audit full LST entry and every opcode variant
127	0x0042CBCC	1	161	no	secondary_table		story_id_transfer	sub_42E480_select_file_and_reset_ip	0/1		all	161	1/1	161	audio_video,story_scene	_AIL_serve@0|sub_42E480		pending_audit			existing semantics/C++/asset/triage fields are navigation only; independently audit full LST entry and every opcode variant
128	0x0042CBFF	2	163-164	yes	secondary_table		fixed_raw_operands	handler_specific_sequential_or_wait	0/2		none		2/2	163-164	story_scene	sub_42E430		pending_audit			existing semantics/C++/asset/triage fields are navigation only; independently audit full LST entry and every opcode variant
129	0x0042CC35	2	165-166	yes	secondary_table		fixed_raw_operands	handler_specific_sequential_or_wait	0/2		none		1/2	165	special_modes,story_scene	sub_42E430|sub_44D650|sub_44D680		pending_audit			existing semantics/C++/asset/triage fields are navigation only; independently audit full LST entry and every opcode variant
130	0x0042CCF7	4	170-173	yes	secondary_table		byte_string_percent_q,fixed_even_variant	sequential	0/4		none		4/4	170-173	resource_io,runtime_platform,special_modes,story_scene	_malloc|ds:lstrcpyA|sub_40DC80|sub_40DCB0|sub_4885A0		pending_audit			existing semantics/C++/asset/triage fields are navigation only; independently audit full LST entry and every opcode variant
131	0x0042CDED	1	175	no	secondary_table		fixed_raw_operands	handler_specific_sequential_or_wait	0/1		none		0/1		story_scene			pending_audit			existing semantics/C++/asset/triage fields are navigation only; independently audit full LST entry and every opcode variant
132	0x0042CE12	1	176	no	secondary_table		fixed_raw_operands	handler_specific_sequential_or_wait	0/1		none		0/1		story_scene			pending_audit			existing semantics/C++/asset/triage fields are navigation only; independently audit full LST entry and every opcode variant
133	0x0042CE32	1	177	no	secondary_table		fixed_raw_operands	handler_specific_sequential_or_wait	0/1		none		1/1	177	story_scene			pending_audit			existing semantics/C++/asset/triage fields are navigation only; independently audit full LST entry and every opcode variant
134	0x0042CF7C	1	178	no	secondary_table		fixed_raw_operands	handler_specific_sequential_or_wait	0/1		none		1/1	178	story_scene,world_map	sub_40C0D0		pending_audit			existing semantics/C++/asset/triage fields are navigation only; independently audit full LST entry and every opcode variant
135	0x0042CFBD	1	179	no	secondary_table		fixed_raw_operands	handler_specific_sequential_or_wait	0/1		none		0/1		asset_runtime,resource_io,story_scene	??2@YAPAXI@Z|sub_430C60|sub_430FF0		pending_audit			existing semantics/C++/asset/triage fields are navigation only; independently audit full LST entry and every opcode variant
136	0x0042D041	1	180	no	secondary_table		fixed_raw_operands	handler_specific_sequential_or_wait	0/1		none		0/1		story_scene			pending_audit			existing semantics/C++/asset/triage fields are navigation only; independently audit full LST entry and every opcode variant
137	0x0042B070	5	181-185	yes	secondary_table	shared_numeric_operation_refinement	fixed_shared_numeric	conditional_transfer_or_sequential|sequential	0/5		none		1/5	184	runtime_platform,story_scene	nullsub_1|sub_42E430		pending_audit			existing semantics/C++/asset/triage fields are navigation only; independently audit full LST entry and every opcode variant
138	0x0042D05C	2	186-187	yes	secondary_table		fixed_raw_operands	handler_specific_sequential_or_wait	0/2		none		0/2		runtime_platform,special_modes,story_scene	nullsub_1|sub_4112B0|sub_42E430		pending_audit			existing semantics/C++/asset/triage fields are navigation only; independently audit full LST entry and every opcode variant
139	0x0042D0D8	3	188-190	yes	secondary_table		fixed_raw_operands	handler_specific_sequential_or_wait	0/3		none		0/3		runtime_platform,special_modes,story_scene	nullsub_1|sub_411030|sub_4112B0		pending_audit			existing semantics/C++/asset/triage fields are navigation only; independently audit full LST entry and every opcode variant
140	0x0042D170	1	191	no	secondary_table		fixed_raw_operands	handler_specific_sequential_or_wait	0/1		none		1/1	191	story_scene			pending_audit			existing semantics/C++/asset/triage fields are navigation only; independently audit full LST entry and every opcode variant
141	0x0042D1AA	1	192	no	secondary_table		fixed_raw_operands	handler_specific_sequential_or_wait	0/1		none		0/1		story_scene			pending_audit			existing semantics/C++/asset/triage fields are navigation only; independently audit full LST entry and every opcode variant
142	0x0042D1D5	1	193	no	secondary_table		fixed_raw_operands	handler_specific_sequential_or_wait	0/1		all	193	1/1	193	audio_video,story_scene	sub_484DA0		pending_audit			existing semantics/C++/asset/triage fields are navigation only; independently audit full LST entry and every opcode variant
143	0x0042D200	1	1024	no	special_eq_1024		fixed_control	advance_and_continue_same_call	0/1		none		0/1		story_scene			pending_audit			existing semantics/C++/asset/triage fields are navigation only; independently audit full LST entry and every opcode variant
144	0x0042D49F	1	1025	no	special_eq_1025		fixed_control	advance_and_yield	0/1		none		0/1		story_scene			pending_audit			existing semantics/C++/asset/triage fields are navigation only; independently audit full LST entry and every opcode variant
145	0x0042D1EA	1	1026	no	special_eq_1026		fixed_control	advance_and_continue_same_call	0/1		all	1026	1/1	1026	story_scene			pending_audit			existing semantics/C++/asset/triage fields are navigation only; independently audit full LST entry and every opcode variant
146	0x0042D24E	1	16383	no	special_eq_16383		terminator	TalkEnd_cleanup	0/1		all	16383	1/1	16383	asset_runtime,runtime_platform,story_scene,world_map	ds:wsprintfA|edi|nullsub_1|sub_40C0D0|sub_40DC50|sub_40DD40|sub_42D920|sub_4321E0		pending_audit			existing semantics/C++/asset/triage fields are navigation only; independently audit full LST entry and every opcode variant
